BROWNHILLS-SANDHILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK067048,Long,-1.9024218,Lat,52.640903,Elevation,407,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2336/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.07,2.65,3.49,2.96,5.44,3,3.75,3.19,4.83,2.74,1.95,2.46,2.18,5.08,1.49,0.68,2.4,2.86,1.03,1.22,2.01,3.37,1.35,1.98,3.2,5.39
February,,,,,2.34,2.27,3.7,0.66,1.3,2.52,2.57,1.26,1.21,1.88,2.2,3.31,2.15,1.16,0.75,4.7,2.52,0.54,1.2,2.27,2.36,0.56,2.06,3.97,0.34,2.01
March,,,,,0.57,1.6,2.28,0.59,1.58,1.83,2.55,1.65,1.05,0.37,0.82,0.81,6.47,1.29,1.64,1.07,4.22,1.63,1.24,2.16,2.94,1.08,2.4,1.57,1.57,1.71
April,,,,,3.93,2.02,2.46,0.16,1.79,4.31,1.46,1.28,1,1.93,1.28,1.3,2.23,2.18,2.71,1.97,1.99,2.28,2.61,0.39,1.24,1.39,0.27,0.73,3.36,1.07
May,,,,,0.74,0.74,2.38,1.5,1.36,1.93,3.14,3.33,3.07,0.64,3.66,2.6,3.12,2.15,2.26,1.38,3.42,2.31,2.28,2.25,4.02,0.75,1.09,1.79,1.01,1.44
June,,,,,2.71,3.73,0.87,1.83,1.25,0.93,0.99,0.86,1.39,1.89,2.71,3.01,1.55,4.37,0.53,1.21,1.26,1.93,2.68,4.08,2.81,2.23,1.41,3.55,0.85,2.71
July,,,,,0.33,5.7,2.52,3.48,4.68,2.99,4.22,2.01,0.78,2.63,1.57,2.23,2.44,1.85,2.2,1.94,1.03,1,2.38,4.31,0.44,3.06,3.23,6.85,2.04,3
August,,,,,2.36,0.6,0.65,2.7,5.02,0.26,4.07,2.67,1.78,1.77,2.13,6.46,0.71,4.87,1.47,3.28,4.93,2.49,2.07,5.41,0.67,4.42,3.85,2.5,1.81,4.03
September,,,,,4.04,2.43,2.94,3.25,0.95,1.02,0.34,1.05,2.72,2.88,1.44,3.96,1.68,2.36,0.97,3.69,2.27,1.19,2.47,1.81,2.14,2.48,5.03,3.13,0.22,5.04
October,,,,,3.13,1.65,2.31,2.27,3.71,3.26,2.68,2.57,1.64,3.42,3.98,0.52,0.51,2.24,5.1,0.71,0.71,3.61,1.9,4.08,1.65,1.55,1.59,2.54,2.8,6.05
November,,,,,5.04,2.65,1.6,3.13,4.68,6.43,2.99,1.22,1.92,3.73,0.4,5.99,2.3,1.63,2.98,3.49,6.19,1.83,1.65,5.11,2.6,0.91,2.12,1.85,3.83,4.14
December,,,,,3.41,1.8,2.7,3.44,1.63,2.29,1.5,2.76,1.21,1.71,2.57,2.89,2.34,3.62,1.75,1.59,2.31,3.08,1.31,2.6,1.75,2.49,1.51,2.89,3.73,3.73
Total,,,,,29.67,27.84,27.9,25.97,33.39,30.77,30.26,23.85,22.6,25.59,24.71,35.54,27.68,32.8,23.85,25.71,33.25,24.75,22.82,35.69,24.63,24.29,25.91,33.35,24.76,40.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 3079 SANDHILLS Start 1935 end 1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Sandhills Pumping Station. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
