"BROWNHILLS (SANDHILLS)",,,,,,,,,,,,
Grid ref,SK067048,Long,-1.902422,Lat,52.640903,,,,,,,
Station no,2336/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.40,2.86,1.03,1.22,2.01,3.37,1.35,1.98,3.20,5.39,,
February,2.52,0.54,1.20,2.27,2.36,0.56,2.06,3.97,0.34,2.01,,
March,4.22,1.63,1.24,2.16,2.94,1.08,2.40,1.57,1.57,1.71,,
April,1.99,2.28,2.61,0.39,1.24,1.39,0.27,0.73,3.36,1.07,,
May,3.42,2.31,2.28,2.25,4.02,0.75,1.09,1.79,1.01,1.44,,
June,1.26,1.93,2.68,4.08,2.81,2.23,1.41,3.55,0.85,2.71,,
July,1.03,1.00,2.38,4.31,0.44,3.06,3.23,6.85,2.04,3.00,,
August,4.93,2.49,2.07,5.41,0.67,4.42,3.85,2.50,1.81,4.03,,
September,2.27,1.19,2.47,1.81,2.14,2.48,5.03,3.13,0.22,5.04,,
October,0.71,3.61,1.90,4.08,1.65,1.55,1.59,2.54,2.80,6.05,,
November,6.19,1.83,1.65,5.11,2.60,0.91,2.12,1.85,3.83,4.14,,
December,2.31,3.08,1.31,2.60,1.75,2.49,1.51,2.89,3.73,3.73,,
Total,33.25,24.75,22.82,35.69,24.63,24.29,25.91,33.35,24.76,40.32,,
Calc annual,33.25,24.75,22.82,35.69,24.63,24.29,25.91,33.35,24.76,40.32,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
