DERBY-MARKEATON-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK333377,Long,-1.5059979,Lat,52.935672,Elevation,190,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2661/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.77,,3.37,3.53,5.79,3.37,3.85,2.78,4.28,2.85,1.92,2.93,,5.74,1.23,0.95,2.25,2.52,1.03,1.02,2.35,3.44,1.72,2.64,3.06,5.19
February,,,,,2.65,1.87,4.74,0.99,1.3,3.78,2.44,1.1,0.71,2.23,2.67,3.6,,1.35,0.62,4.95,2.77,0.73,1.78,2.66,1.97,0.95,2.15,4.58,0.19,2.11
March,,,,,0.73,1.98,2.39,0.38,1.75,2.31,2.84,2.05,1.08,0.17,0.72,0.78,5.43,0.71,1.62,0.95,4.21,2.23,1.15,2.29,2.62,0.96,2.29,1.88,1.62,1.81
April,,,,,3.12,1.88,2.29,0.16,2.21,1.84,1.41,0.99,0.89,2.22,1.94,1.06,1.9,1.8,2.73,2.72,1.78,1.64,2.37,0.37,1.41,1.72,0.23,0.74,2.75,1.57
May,,,,,0.48,0.28,2.36,1.84,0.96,1.31,2.52,3.56,3.16,1.45,2.41,1.35,1.82,1.33,2.57,1.67,2.88,2.69,2.19,3.4,3.03,0.6,0.87,2.67,0.38,1.28
June,,,,,3.74,3.12,0.99,1.98,1.36,0.78,0.92,0.23,2.09,1.92,3.05,3.62,1.27,3.15,0.32,1.74,1.77,2.68,2.43,3.18,4.01,2.5,1.58,4.65,0.78,2.18
July,,,,,0.57,3.67,2.73,4.21,4.49,2.73,4.14,2.28,1.29,2.74,2.6,1.65,2.51,1.25,3.74,1.94,1.35,1.04,2.44,2.47,0.69,2.97,3.75,4.83,1.96,3.46
August,,,,,2.1,1.55,0.29,1.56,2.19,0.36,4.26,2.68,2.88,2.98,2.52,4.39,0.49,4.42,2.18,3.05,4.86,1.74,2.92,4.6,0.43,4.48,2.6,2.83,1.06,5.2
September,,,,,3.62,3.36,1.53,3.67,0.85,0.75,0.44,1.38,2.42,3.94,2.49,3.71,1.7,2.14,1.92,4.24,1.72,1.78,1.62,3.23,1.05,2.81,5.9,2.99,0.07,4.5
October,,,,,4.02,1.69,2.1,2.66,3.11,3.98,2.82,2.18,1.87,2.77,3.78,1,0.34,2.06,4.05,1.02,0.73,3.32,2.17,3.35,1.57,1.23,1.47,2.43,2.44,5.09
November,,,,,4.57,2.46,1.66,3.1,3.67,6.4,2.91,1.15,2.38,4.43,0.28,4.89,1.97,1.64,3.22,4.45,6.48,1.69,1.89,4.61,2.01,0.98,1.97,1.33,2.75,3.15
December,,,,,3.98,2.32,2.85,3.67,2.03,2,1.16,2.3,0.99,1.56,2.09,2.38,2.3,3.79,2.43,1.97,2.38,2.93,1.01,3.36,2.22,3.74,2.11,3.47,3.8,3.13
Total,,,,,30.35,,27.3,27.75,29.71,29.61,29.71,22.68,24.04,29.26,26.47,31.36,,29.38,26.63,29.65,33.18,24.99,23,34.54,23.36,26.38,26.64,35.04,20.86,38.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 543 DERBY: MARKEATON PARK Start 1935 end 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is in Markeaton Park. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
