MOFFAT HOPE LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,NT079070,Long,-3.453942,Lat,55.348363,Elevation,450,ft,,,,,,,,,,,,
Station no,RR4423,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,4.67,2.63,6.13,2.31,5.82,5.97,4.22,2.51,4.06,5.18,3.91,,,,,
February,,,,,4.47,2.99,3.66,3.68,3.18,2.32,6.09,5.95,3.6,3.07,7.11,,,,,
March,,,,,4.34,6.37,3.72,4.08,5.84,4.7,3.79,2.16,5.35,6.24,5.8,,,,,
April,,,,,5.47,3.86,1.34,2.16,1.57,3.41,4.25,4.51,0.8,4.99,1.98,,,,,
May,,,,,2.86,2.79,6.27,4.39,3.45,2.5,2.13,3.06,1.34,3.42,2.33,,,,,
June,,,,2.32,3.8,1.86,1.59,5.23,3.16,2.75,2.95,2.71,4.62,6.17,0.95,,,,,
July,,,,4.27,3.92,2.07,2.59,4.38,2.5,3.94,5.26,1.79,3.21,1,2.75,,,,,
August,,,,6.94,4.79,5.05,7.12,5.57,4.7,1.64,7.61,2.94,4.04,1.87,3.64,,,,,
September,,,,4.36,3.75,2.87,1.16,0.8,7.08,2.44,1.09,1.92,2.59,1.91,1.86,,,,,
October,,,,11.81,2.91,3.68,6.43,7.64,1.99,10.28,3.49,4.15,3.1,4.42,1.73,,,,,
November,,,,3.65,2.63,4.83,4.04,4.22,3.36,1.63,3.26,5.87,7.51,5.31,5.99,,,,,
December,,,,4.55,4.68,2.89,3.3,5.5,3.91,6.16,4.29,8.19,7.91,3.24,7.01,,,,,
Total,,,,,48.29,41.89,47.35,49.96,46.56,47.74,48.43,45.76,48.13,46.82,45.06,,,,,
