"MOFFAT HOPE LODGE",,,,,,,,,,,,
Grid ref,NT079070,Long,-3.453942,Lat,55.348363,,,,,,,
Station no,RR4423,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,4.67,2.63,6.13,2.31,5.82,5.97,,
February,,,,,4.47,2.99,3.66,3.68,3.18,2.32,,
March,,,,,4.34,6.37,3.72,4.08,5.84,4.70,,
April,,,,,5.47,3.86,1.34,2.16,1.57,3.41,,
May,,,,,2.86,2.79,6.27,4.39,3.45,2.50,,
June,,,,2.32,3.80,1.86,1.59,5.23,3.16,2.75,,
July,,,,4.27,3.92,2.07,2.59,4.38,2.50,3.94,,
August,,,,6.94,4.79,5.05,7.12,5.57,4.70,1.64,,
September,,,,4.36,3.75,2.87,1.16,0.80,7.08,2.44,,
October,,,,11.81,2.91,3.68,6.43,7.64,1.99,10.28,,
November,,,,3.65,2.63,4.83,4.04,4.22,3.36,1.63,,
December,,,,4.55,4.68,2.89,3.30,5.50,3.91,6.16,,
Total,,,,,48.29,41.89,47.35,49.96,46.56,47.74,,
Calc annual,0.00,0.00,0.00,37.90,48.29,41.89,47.35,49.96,46.56,47.74,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,-0.00,,
