"BLACKHILL HOUSE, STRATH TAY BY ABERFELDY",,,,,,,,,,,,,,,,,,,,
Grid ref,NN 87573 52664,Long,-3.835328,Lat,56.652224,Elevation,823,ft,,,,,,,,,,,,
Station no,RR2894,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,2.75,2.6,5.05,5.5,6.9,6.15,2.8,2.1,6.3,8.8,,,,,,
February,,,,,4.07,8.76,5.5,2.9,6.95,4.07,7,3.85,8.8,1.7,,,,,,
March,,,,,3.9,1.4,2.8,1.4,4.6,1.3,0.75,2.4,1.8,2,,,,,,
April,,,,,1.3,0.5,1.5,3.7,4.85,0.97,0.5,2.6,1.15,3.3,,,,,,
May,,,,,1.52,2.57,1.05,3,2.8,0.52,2.6,0.8,3.5,3.5,,,,,,
June,,,,,2.9,0.17,1.6,2.4,2.47,2.65,2.4,1.9,5.8,3.7,,,,,,
July,,,,,2.85,4,3.15,6.7,0.35,1.56,0.4,3.9,3.45,5.3,,,,,,
August,,,,,0.8,5.1,3.7,3,5.05,1.2,2.05,3.9,3.15,3.1,,,,,,
September,,,,3.4,5.12,0.5,5.8,3.36,3.07,5.05,4,1.3,5.5,3.5,,,,,,
October,,,,4.5,3.2,4.3,3.07,3.7,2.5,4.3,5.1,4,5.8,4.1,,,,,,
November,,,,3.15,4.3,3,3.6,0.6,3.4,3,1.7,0.8,5.5,4.15,,,,,,
December,,,,4.7,2.85,5,4.45,2.2,5.85,4.1,2.75,4,6.6,4.25,,,,,,
Total,,,,,35.56,37.9,41.27,38.46,48.79,34.87,32.05,31.55,57.35,47.4,,,,,,
