"ENNISKILLEN LISBELLAW - new gauge, monthly",,,,,,,,,,,,,,,,,,,,
Grid ref,IH3011740633,Long,-7.537954592,Lat,54.31369113,Elevation,200,ft,,,,,,,,,,,,
Station no,RR2955,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,3.01,,0.58,2.33,,5.05,2.55,,,,
February,,,,,,,,,,2.16,,5.05,1.74,,4.07,4.82,,,,
March,,,,,,,,,,2.1,,2.18,3.18,,3.22,2.4,,,,
April,,,,,,,,,,2.29,,2.15,2.35,,1.22,2.22,,,,
May,,,,,,,,,,3.78,,1.34,1.75,,2.59,2.25,,,,
June,,,,,,,,,,5.58,,4.27,3.43,,0.94,0.49,,,,
July,,,,,,,,,,5.49,,1.97,5.15,,4.67,3.17,,,,
August,,,,,,,,,,4.01,,3.34,3.54,,2.72,2.1,,,,
September,,,,,,,,,,5.31,,1.93,2.76,,3.7,5.01,,,,
October,,,,,,,,,,2.29,,2.6,2.58,,3.58,4.36,,,,
November,,,,,,,,,,1.22,,5.22,6.5,,3.79,1.9,,,,
December,,,,,,,,,,2.1,,4.41,4.14,,4.74,1.59,,,,
Total,,,,,,,,,,39.34,,35.04,39.45,,40.29,32.86,,,,
