ENNISKILLEN LISBELLAW,,,,,,,,,,,,,,,,,,,,
Grid ref,IH3011740633,Long,-7.537954592,Lat,54.31369113,Elevation,200,ft,,,,,,,,,,,,
Station no,RR2955,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,4.48,2.43,6.45,3.57,2.26,1.88,0.49,2.2,5.82,4.76,2.25,,,,
February,,,,,,1.26,4.24,3.22,1.49,1.91,3.17,3.63,1.44,3.44,3.96,4.28,,,,
March,,,,,,1.4,4.89,2.61,1.96,1.85,2.62,2.33,2.74,1.36,2.97,2.28,,,,
April,,,,,,0.4,2.74,1.79,1.68,2,3.5,1.82,1.94,1.45,1.22,1.75,,,,
May,,,,,,2.75,0.76,2.61,3.58,4.23,1.03,1.38,1.75,0.87,2.74,2.05,,,,
June,,,,,,3.84,1.95,2.56,3.93,5.22,5.31,4.15,3.42,2.29,0.95,0.42,,,,
July,,,,,,2.47,1.69,3.92,0.53,5.85,4.09,2.07,5.1,4.42,4.61,3,,,,
August,,,,,,3.27,3.35,3.83,4.46,3.74,1.47,3.34,3.49,3.44,2.62,2.15,,,,
September,,,,,,4.89,5.43,1.9,4.09,5.31,3.51,1.89,2.73,4.21,3.74,5.08,,,,
October,,,,,,5.47,4.35,4.55,4.54,2.29,0.81,2.56,2.53,4.06,3.19,4.32,,,,
November,,,,,,3.54,3.01,5.63,1.88,1.15,4.62,3.81,6.24,4.52,3.18,1.89,,,,
December,,,,,,2.25,6.74,3.57,2.06,2.03,3.09,3.89,3.7,2.58,4.06,1.55,,,,
Total,,,,,,36.02,41.58,42.64,33.77,37.84,35.1,31.36,37.28,38.46,38,31.02,,,,
