KENILWORTH THE SPRING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP288734,Long,-1.578539,Lat,52.357909,Elevation,312,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,3.01,2.72,1.8,3.03,2.93,0.69,0.86,2.78,2.16,1.36,1.55,1.35,3.75,1.1,2.19,0.78,3.7,3.31,0.91,0.78,2.19,2.59,0.83,3.76,0.92,0.7,
February,,,,2.83,1.4,3.1,0.84,0.6,0.62,1.87,0.66,0.21,0.8,2.89,2.33,0.13,0.53,2.94,1.15,2.75,4.07,1.93,1.61,1.03,3.52,0.74,2.41,1.02,1.16,
March,,,,1.22,1.9,1.05,2.24,1.58,2.36,3.87,1.32,0.97,0.66,0.33,0.89,1.97,2.22,2.35,0.78,1.11,0.59,1.68,1.6,3.92,1.44,2.78,1.17,0.85,2.56,
April,,,,1.14,1.99,2.18,1.75,0.92,1.44,2.92,0.99,1.9,0.86,0.42,1.77,1.84,0.99,1.96,2,1.89,0.96,1.99,2.25,1.68,1.01,1.6,0.54,1.98,2.91,
May,,,,1.64,1.31,2.15,4.97,1.49,1.09,3.14,2.47,3.21,1.63,2.51,1.78,0.81,0.33,1.67,3.18,2.2,1.52,1.06,2.08,2.81,1.61,0.44,2.19,4.72,1.59,
June,,,,2.61,2.09,2.3,0.73,1.7,1.9,1.08,1.62,2.04,3.1,0.86,1.61,0.86,3.63,2.79,0.74,1.69,3.77,2.37,2.77,2.42,0.34,2.91,3.04,2.19,1.52,
July,,,,3.62,3.04,0.08,3.35,0.78,6.56,1.91,1.85,2.7,2.26,2.08,3.76,2.63,1.11,0.31,0.82,1.08,1.32,2.16,1.35,3.48,2.59,1.31,1.02,2.49,2.14,
August,,,,0.96,2.02,2.5,1.22,2.16,2.53,3.16,2.58,3.93,2.27,1.78,2.49,1.94,2.15,3.91,3.84,0.88,3.25,1.72,3,3.5,1.75,5.02,1.26,2.72,3.11,
September,,,,4.96,0.94,3.12,2.15,2.51,1.1,2.04,1.13,1.1,1.9,0.93,1.92,0.76,4.55,2.2,0.76,3.25,0.57,1.16,1.23,1.97,1.92,1.32,1.09,0.48,1.72,
October,,,,2.57,1.37,4.34,3.89,2.17,0.53,2.19,1.13,5.59,2.53,2.41,3.24,2.83,2.52,1.97,2.88,2.38,2.73,1.3,2.54,6.37,0.48,1.11,4.72,5.29,1.05,
November,,,,3.94,1.95,3.97,2.11,1.63,3.84,1.18,2.53,1.98,2.13,1.79,2.44,3.46,1.04,1.4,1.91,1.57,2.19,0.68,1.95,1.8,1.84,2.71,2.88,2.28,1.16,
December,,,,0.87,1.95,0.61,3.15,1.69,2.17,1.55,0.77,2.79,1.31,2.03,2.36,1.89,3.49,2.73,2.27,2.08,5.75,3.79,1.53,1.33,2.12,0.77,1.82,3.36,2.2,
Total,,,,29.37,22.68,27.2,29.43,20.16,24.83,25.77,19.83,28.58,20.81,19.58,25.94,22.87,23.66,26.42,21.11,24.58,30.03,20.75,22.69,32.5,21.21,21.54,25.9,28.3,21.82,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887 Sept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907 total - arithmetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
