STAINES-ST-ANNS-COTTAGE,,,,,,,,,,,
Grid ref,TQ028712,Long,-0.52264896,Lat,51.430489,Elevation,51,ft.,,,
Station no,RR8509,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,2.25,2.46,1.36,1.39,1.67,2.7,1.84,3.34,1.03,2.87
February,,0.26,2.36,3.28,0.44,3.77,2.22,3.45,1.68,0.54,1.09
March,,1.08,1.9,2.54,1.5,0.66,0.25,2.67,1.46,0.1,1
April,,0.75,3.27,1.98,3.34,1.87,2.88,1.81,1.57,0.81,1.58
May,,1.14,1.01,,3.35,2.3,2.46,1.31,,2,2.17
June,,0.2,0.99,,2.73,0.09,2.75,3.15,,1.13,1.93
July,,0.16,3.39,,3.92,4.3,1.77,2.54,,1.17,
August,,1.19,2.5,,2.62,3.15,1.02,3.5,,1.43,
September,,2.07,1.79,,3.51,3.19,2.51,5.05,,0.19,
October,,0.88,0.86,,3.46,3.1,2.09,1.46,3.66,3.52,
November,,1.93,1.56,,3.04,1.6,4.97,3.03,1.91,5,
December,,1.26,2.88,,3.78,2.8,0.29,3.51,2.03,5.15,
Total,,13.17,24.97,,33.08,28.5,25.91,33.32,,22.07,
,,,,,,,,,,,
NGR is 18 Thorpe Road where the observer lived. Altitudes match.,,,,,,,,,,,
