HAWICK BRANXHOLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT463117,Long,-2.849389,Lat,55.396295,Elevation,457,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,2.1,1.05,1.28,1.49,1.22,3.84,6.81,2.89,5.05,2.54,1.93,1.54,5.04,2.57,1.97,1.71,4.58,2.39,1.45,0.63,1.54,4.63,3.59,1.3,1.88,4.7,2.49,1.24,3.19,0.93,3.45,3.43,3.02,1.6,3.34,3.5,2.75,1.64,4.08,2.67,3.02,2.42,4.37,5.35,2.77,2.12,3.38,3.7,4.37,3.36,7.52,1.03,5.68,2.52,5.82,4.9,4.15,1.53,,,,,
February,,,,,,,,,1.66,2.18,3.27,2.5,2.89,4.1,4.48,4.59,1.42,1.47,1.39,2.24,1.1,0.23,2.23,4.07,6.76,0.6,1.62,2.54,2.33,2.92,4.56,0.75,1.27,4.14,2.42,1.61,1.99,1.98,2.21,1.5,3.89,2.75,2.32,2.01,4.3,4.93,4.14,0.98,3.24,1.48,3.34,0.33,3.43,5.37,1.02,5.1,3.74,1.07,4.19,1.36,0.7,2.4,0.26,3.27,0.2,3.29,,,,,
March,,,,,,,,,1.2,2.9,1.26,2.48,3.6,2.65,2.91,2.1,3.32,1.8,2.64,3.44,2.29,3.78,1.05,1.14,3.24,3.93,3.53,4.5,1.49,3.69,1.05,1.98,1.67,6.06,2.41,3.15,2.24,2.66,4.67,4.21,1.87,2.43,3.16,4.69,3.43,2.39,3.51,1.48,0.59,2.27,4.45,4.12,2.24,1.19,1.05,2.45,2.31,1.94,4.49,0.46,2.21,1,2.84,1.72,3.3,1.21,,,,,
April,,,,,,,,,1.35,1.5,3.05,1.54,3,1.16,1.41,2.92,1.94,1.14,1.8,2.74,0.78,1.11,0.88,0.77,1.11,1.55,1.09,1.63,2.62,2.92,3.08,1.79,2.05,1.11,2.73,2.64,0.91,2.3,1.29,3.35,2.92,2.75,0.42,3.71,1.54,1.31,2.1,2.65,0.93,2.02,2.21,0.64,2.88,2.85,1.73,3.93,2.8,1.57,1.08,1.51,1.23,2.63,3.1,1.21,4.76,4.12,,,,,
May,,,,,,,,,3.9,1.62,1.18,2.33,1.64,1.75,2.29,3.42,4.18,0.79,1.86,1.36,2.01,1.71,3.88,2.23,4.3,1.28,0.77,1.82,2.1,2.82,2.54,2.63,2.12,1.69,2.12,1.36,5.19,4.16,2.42,1.8,1.35,1.45,1.22,2.74,1.98,1.67,3.34,2.56,2.01,1.04,3.78,2.04,1.12,1.85,3.61,5.79,2.46,1.3,1.76,2.28,0.91,3.43,2.45,2.5,3.03,,,,,,
June,,,,,,,,,1,3.45,1.07,2.82,5.26,2.5,0.37,0.48,1.28,0.55,2.44,1.06,2.82,1.2,3.71,2.12,3.33,1.05,2.35,3.14,1.77,1.07,5.31,2.3,1.69,1.16,2.68,1.6,1.16,4.3,1.62,2,1.58,2.93,5.59,1.71,2,2.04,1.91,2.17,0.66,1.26,1.29,0.56,1.49,1.14,1.58,0.68,3.45,3.08,5.4,2.03,2.15,5.68,1.49,1.29,2.27,,,,,,
July,,,,,,,,,0.68,4.26,5.03,2.4,3.89,4.78,5.78,1.68,3.85,3.2,5.5,3.95,2.82,2.85,2.41,2.96,1.59,5.65,3.83,2.12,0.99,3.73,4.35,2.37,3.29,3.46,2.22,0.78,2.33,2.68,2.69,2.59,4.39,0.91,3.14,1.09,1.73,3.5,4.33,1.92,2.53,0.69,4.39,2.94,4.65,2.09,4.78,1.34,2.84,2.6,2.13,3.94,5.1,3.71,3.7,3.56,2.69,,,,,,
August,,,,,,,,,3.8,3.28,0.78,4.63,1.87,3.53,0.9,1.96,0.86,1.89,2.79,3.92,3.83,6.67,4.71,3.08,4.46,4.98,1.81,4.34,2.31,0.82,5.12,3.08,2.51,3.91,2.69,3.58,5.17,3.76,3.5,1.63,4.52,2.18,5.13,1.33,2.21,3.09,3.8,5.64,1.94,2.4,3.3,5.41,2.51,5.5,3.02,4.05,3.73,5.71,6.94,4.95,6.22,3.81,1.68,1.67,4.28,,,,,,
September,,,,,,,,,2.64,2.52,4.26,2.78,1.8,4.2,3.68,3.62,4.17,4.08,0.63,1.41,2.14,5.68,3.08,1.56,0.91,0.54,5.03,2.36,1.48,2.46,2.7,1.66,1.57,3.15,0.8,2.23,0.64,0.55,2.38,2.14,0.57,1.64,1.79,2.15,0.96,1.84,2.05,2.84,6.03,2.2,1.44,1.72,2.59,3.54,4.29,3.58,3.36,6.74,2.04,0.5,3.52,1.79,4.18,1.11,3.27,,,,,,
October,,,,,,,,,3.16,1.85,3.06,2.59,3.18,4.38,1.28,3.14,4.87,1.3,2.88,5.11,1.69,3.2,4.18,2.93,2.61,5.24,4.21,2.02,4.29,3.55,4.3,2.76,2.12,6.22,1.29,1.97,4.79,5.08,1.45,6.09,2.92,3.25,3.04,3.52,1.01,1.18,6.22,4.23,4.64,2.71,1.91,3.18,2.38,4.18,3.11,3.4,3.06,4,7.35,3.66,6.27,2.89,5.4,4.19,6.11,,,,,,
