"HAWICK BRANXHOLME",,,,,,,,,,,,
Grid ref,NT463117,Long,-2.849389,Lat,55.396295,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.59,1.30,1.88,4.70,2.49,1.24,3.19,0.93,3.45,3.43,,
February,4.56,0.75,1.27,4.14,2.42,1.61,1.99,1.98,2.21,1.50,,
March,1.05,1.98,1.67,6.06,2.41,3.15,2.24,2.66,4.67,4.21,,
April,3.08,1.79,2.05,1.11,2.73,2.64,0.91,2.30,1.29,3.35,,
May,2.54,2.63,2.12,1.69,2.12,1.36,5.19,4.16,2.42,1.80,,
June,5.31,2.30,1.69,1.16,2.68,1.60,1.16,4.30,1.62,2.00,,
July,4.35,2.37,3.29,3.46,2.22,0.78,2.33,2.68,2.69,2.59,,
August,5.12,3.08,2.51,3.91,2.69,3.58,5.17,3.76,3.50,1.63,,
September,2.70,1.66,1.57,3.15,0.80,2.23,0.64,0.55,2.38,2.14,,
October,4.30,2.76,2.12,6.22,1.29,1.97,4.79,5.08,1.45,6.09,,
November,3.98,3.29,2.05,2.44,2.13,3.44,2.98,2.26,1.96,1.14,,
December,5.17,4.53,4.12,2.32,1.99,1.48,2.85,4.39,1.38,3.37,,
Total,45.75,28.44,26.34,40.36,25.97,25.08,33.44,35.05,29.02,33.25,,
Calc annual,45.75,28.44,26.34,40.36,25.97,25.08,33.44,35.05,29.02,33.25,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
