SKYE ORONSAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NG712121,Long,-5.7826,Lat,57.1435,Elevation,15,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,4.45,8.8,3.45,4.4,4.77,11.85,9.47,8.9,9.34,3.2,10.7,6,1.5,6.82,6.16,17.3,22,4.89,5.39,4.65,4.8,0.95,5.3,1.05,4.93,4.05,6.56,3.89,6.03,6.37,6,9.11,9.37,6.12,6.71,4.01,4.64,1.33,2.61,1.35,7.53,2.69,5.57,1.52,3.54,5.3,5.12,4.85,7.64,6.33,7.03,1.19,4.87,4.21,3.63,4.45,6.28,7.04,9.65,3.54,3.39,4.04,7.13,10.45,3.36,6.76,3.86,3.82,6.35,9.67,7.32,1.63,8.48,5.91,7.82,4.92,6.5,5.71,2.39,6.09,7.81,3.57,0.83,0.33,4.8,4,6.58,1.3,6.28,3.46,6.69,7.31,4.73,5.26,4.48,4.21,5.67,3.05,3.81,6.66,4.11,3.92,1.89,,
February,,,,,,,,,1.05,6.55,3.15,5.5,2.54,8.5,6.5,0.4,6.7,11,19.1,11.5,1.6,4.91,4.75,0.76,7.2,1.87,2.7,7.95,3.3,2.23,5.69,1.7,4.82,4.85,6.79,7.27,3.27,5.7,3.15,5.4,1.6,4.49,2.3,6.38,7.25,0.31,2.64,4.12,4.69,1.59,1.84,2.18,0.72,6.83,4.32,5.01,3.19,5.54,4.76,0.39,4.36,7.65,3.02,4.1,4.98,3.48,5.56,1.61,7.46,0.83,8.24,4.02,4.92,3.95,4.17,2.95,3.78,2.54,4.43,1.55,0.63,5.5,0.62,4.24,3.19,7.68,1.94,4.17,3.99,6.43,4.17,2.73,1.94,6.8,1.19,4.54,4.55,0.03,6.13,7.14,5.81,3.44,3.48,3.69,4.51,1.58,3.48,3.32,3.88,1.64,1.72,,
March,,,,,,,,,5.73,7.3,4.65,5.3,1.55,3.35,4.88,0.51,4.3,0.9,10.1,3,2.2,5.55,3,3.4,15.25,2.08,5.35,2.12,3.4,2.43,2.58,2.75,7.89,1.34,3.44,2.61,3.07,2.45,3.65,5.75,5.72,3.39,0.4,3.69,6.36,4.73,8.51,4.75,7.18,3.1,0.53,1.53,4.36,6.85,1.45,4.72,2.5,5.1,4.43,0.13,3.16,2.39,6.2,5.82,3.28,5.58,1.93,2.99,2.09,2.78,7.25,8.16,2.69,1.12,0.93,2,7.65,4.93,3.32,1.8,2.81,0.79,2.8,2.47,2.39,3.8,2.74,0.75,12.35,4.11,3.13,2.21,1.77,3.79,1.54,,3.96,0.8,6.27,2.88,3.9,2.99,5,2.32,3.98,1.02,2.24,4.71,1.31,1.72,0.66,,
April,,,,,,,,,1.67,2.5,2.05,0.05,5,5.93,4.69,2.77,1.9,8.8,2.7,3.9,5.1,1.75,4.67,3.2,8.72,2.25,1.85,1.35,0.53,0.86,2.93,0.8,2.85,2.52,0.82,3.2,2.94,1.98,1.82,1.29,1.71,0.22,0.82,2.38,0.39,3.18,3.36,1.85,1.43,3.52,3.53,2.5,1.07,2.45,7.02,1.74,3.24,2.05,2.02,0.37,4.52,6.12,5.14,3.85,7.02,6.46,3.76,2.16,1.82,6.56,2.68,2.03,2.75,2.39,2.16,2.69,2.55,7.76,2.94,2.23,2.06,2.67,4.36,5.78,3.17,1.92,1.43,1.32,1.62,3.68,2.15,2.42,1.13,3.73,1.8,,4.38,8.7,5.15,6.96,4.57,4.69,3.14,3.83,1.87,3.95,1.91,1.64,2.88,1.69,2.02,,
May,,,,,,,,,3.69,0.45,2.95,2.67,6.45,10.65,3.91,3.6,3.5,2.5,6.8,2.2,4,2.34,6.77,4.75,4.5,4.06,1.28,2.33,1.01,2.37,1.6,1.1,1.28,3.39,5.6,2.8,2.85,1.37,1.12,3,1.99,1.56,5.33,2.86,2.18,0.75,0.89,1.89,1.95,1.6,1.55,0.29,2.25,2.57,3.37,3.4,3.28,2.04,2.91,0.56,3.86,3.78,2.68,3.72,2.69,0.67,1.76,2.77,2.56,0.91,3.51,5.51,7.5,4.6,2.58,3.76,3.7,1.56,0.7,3.34,3.22,3.46,2.22,1.54,4.75,0.81,1.73,2.44,2.93,1.5,2.1,1.25,1.85,2.83,2.04,,2.05,1.63,1.73,2.36,1.6,0.8,2.76,2.61,2.32,1.98,3.92,1.5,4.12,0.83,1.3,,
June,,,,,,,,,5.5,1.68,1.9,1.55,4.75,7.64,10.14,2.4,1.55,5,6.9,2.7,3.8,1.11,6.92,7.36,5.85,2.38,3.45,6.9,1.5,2.2,1.7,2.76,1.53,3.13,2.63,4.26,2.52,3.63,0.8,1.07,6.72,1.57,1.83,0.23,1.73,1.97,2.84,2.54,2.82,1.12,1.3,1.7,0.73,1.87,3.14,1.4,1,5.32,0.55,0.23,0.92,3.13,4.26,4.72,2.29,1.05,2.52,2.95,3.52,5.8,2.18,2.61,3.19,3.34,4.89,1.92,2.94,2.15,3.28,3.35,4.3,4.71,1.38,3.6,3.51,2.93,1.98,4.38,4.67,1.87,1.64,2.22,3.72,5.02,1.62,,5.49,5.08,3.37,1.98,5.42,1.87,4.45,0.88,5,2.65,1.82,3.2,2.23,2.09,2.47,,
July,,,,,,,,,5.1,3.47,2.3,3.95,6.2,3.92,5.2,2.9,0.44,4.2,5.6,7.3,2.17,5.93,6.58,6.3,6.55,2.05,6.5,4.55,2.4,4.28,1.8,4.01,4.83,2.79,3.01,3.31,3.62,5.73,2.4,1.93,5.33,3.13,3.46,5.07,4.66,3.46,3.24,3.85,2.29,2.91,3.05,2.03,1.59,5.97,3.64,3.29,5.42,1.4,1,0.83,2.54,5.32,3.06,1.08,2.67,5.17,2.93,2.13,5.15,1.6,4.93,4.97,3.75,6.16,5.08,1.63,3.49,2.57,6.04,3.99,1.58,5.06,6.17,4.97,4.87,4.54,3.72,5.26,3.11,5.61,6.1,4.25,6.15,4.89,1.06,3.5,8,4.77,4.62,2.74,4.81,7.38,2.41,5.21,4.16,1.21,4.14,4.73,2.65,4.16,1.56,,
August,,,,,,,,,2.24,7.4,2.2,7.43,5.08,17.08,8.05,7.1,10.2,5.7,10.3,5,0.72,2.96,4.74,10.5,6.95,7.6,4.45,2.73,1.4,2.25,1.61,2.68,3.41,7.19,6.43,1.5,3.09,2.37,5.05,7.17,6.62,5.12,6.45,4.15,3.97,4.81,5.99,2.7,4.27,1.3,2.8,2.79,1.72,8.92,8.5,5.29,3.65,6.56,0.81,0.63,5.29,3.41,2.2,2.72,5.72,3.4,3.09,3.9,8.16,4.88,3.27,1.84,3.82,6.43,4.14,2.86,6.44,4.3,4.04,6.06,7.27,1.39,5.36,6.57,5.84,5.39,4.13,3.25,3.57,3.9,5.71,8.58,8.8,5.32,1.37,3.61,3.23,0,6.07,8.03,4.67,4.61,4.37,8.1,6.19,1.1,3.95,5.03,4.44,2.3,1.09,,
September,,,,,,,,,4.67,7.2,3.3,3.6,2.25,15.48,15.38,5.65,6.1,8.8,1.2,11.2,5.76,1.51,10,5.87,10.4,3.23,3.6,2.8,5.6,5.38,3.51,0.78,5.75,2.6,4.88,7.93,6.68,3.13,3.95,3.57,4.67,8.68,8.97,6.07,0.08,5.98,4.67,2.01,5.52,4.53,3.95,2.47,6.58,3.42,3.47,5.14,2.98,2.09,1.33,0.2,2.8,7.69,2.86,2.49,4.22,2.07,2.64,7.09,5.57,6.4,4.16,5.61,1.94,7.53,7.84,3.29,6.51,5.31,4.11,6.5,3.18,1.54,5.95,1.46,7.89,8.41,3.44,6.3,4.95,3,5.75,3.27,7.88,4.91,1.43,4.45,7.88,7.68,10.65,5.03,9.03,4.93,5.87,5.43,8.53,6.69,3.77,3.15,3.41,2.1,2.11,,
October,,,,,,,,,5.95,1.74,6.45,3.81,13.1,11.06,6.61,3.55,3.9,10.8,11.2,5,4.7,8.44,9.66,10.06,7.68,2.55,5.35,8.4,4.58,2.05,0.78,1.83,3.83,7.13,9.88,5.63,5.68,4.95,7.29,2.72,9.06,5.73,4.33,8.5,0.88,6.38,4.37,1.78,2.23,3.55,5.63,4.68,3.77,7.82,4.31,3.94,6.75,2.75,0.25,0.87,4.02,2.04,6.51,5.95,3.63,1.41,8.71,9.52,6.14,3.62,1.52,5.96,2.78,11.18,2.11,4.2,4.35,4.71,6.1,9.59,7.01,5.86,8.27,5.37,9.7,8.8,8.61,3.35,9.41,0.59,4.2,5.28,9.34,9.6,4,4.92,0.78,3.89,7.63,8.5,5.89,3.9,7.99,6.2,9.81,6.41,5.36,6.84,6.28,5.31,0.78,,
