"CARDIGAN (COUNTY SCHOOL)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4130,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,5.35,3.82,5.16,3.10,4.89,3.59,4.91,4.84,7.31,1.52,7.39,
February,1.80,0.46,4.12,10.08,0.91,6.61,2.78,3.21,3.50,1.86,0.38,
March,7.26,4.77,4.00,1.75,1.61,1.05,0.63,3.50,3.68,0.34,3.20,
April,5.77,1.58,3.61,2.64,3.33,2.35,1.67,2.02,1.01,0.80,1.62,
May,2.70,1.40,1.46,2.46,3.70,3.88,1.94,2.03,0.72,3.48,1.86,
June,2.85,0.00,1.71,0.86,2.95,0.03,2.16,3.01,4.26,2.12,1.29,
July,4.60,2.59,5.10,2.20,5.69,3.85,3.08,3.55,2.55,2.38,3.15,
August,2.41,6.24,4.20,2.90,3.65,2.72,4.35,5.64,2.55,2.22,3.17,
September,3.90,0.92,3.57,3.44,5.41,3.41,1.87,4.73,1.43,1.56,4.59,
October,5.90,2.29,1.31,8.21,4.35,5.17,4.72,2.12,7.50,6.65,7.51,
November,2.90,3.22,1.80,5.12,2.40,3.93,8.25,4.99,6.12,11.02,4.97,
December,3.22,2.37,5.05,3.59,7.52,3.79,1.06,2.49,5.18,10.36,6.52,
Total,48.66,29.66,41.09,46.35,46.41,40.38,37.42,42.13,45.81,44.31,45.65,
Calc annual,48.66,29.66,41.09,46.35,46.41,40.38,37.42,42.13,45.81,44.31,45.65,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
