MOY DERRYGALLY - gauge 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IH 87116 58611,Long,-6.6569746,Lat,54.468632,Elevation,60,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,5.13,3.82,1.94,4.22,1.52,4.89,3.7,1.49,1.37,0.32,2.14,4.01,4.57,1.66,3.72,1.06,1.75,1.88,3.62,1.52,1.96,1.9,5.38,1.8,,,,
February,,,3.04,0.64,1.5,1.23,1.46,3.62,1.27,1.48,1.85,2.51,1.86,2.45,2.25,3.2,2.44,1.92,0.24,2.04,1.3,0.19,1.49,3.01,3.53,1,,,,
March,,,2.5,1.76,1.67,1.29,3.75,2.44,1.83,1.45,2.42,2.57,2.76,0.87,2.15,1.16,2.62,1.1,3.26,1.41,2.22,1.68,0.45,1.01,3.12,3.54,,,,
April,,,3.19,0.82,2.1,0.33,2.42,2.6,1.26,2.68,3.86,1.15,2.46,1.41,1.74,2.16,1.28,1.66,1.13,2.86,1.26,1.84,0.51,1.8,2.74,1.26,,,,
May,,,2.24,2.21,1.37,1.63,0.52,2.12,4.17,3.59,0.98,1.79,3.35,1.93,2.48,2.11,3.7,1.09,2.31,3.98,1.8,3.77,5.08,1.16,2.47,0.59,,,,
June,,,4.63,2.17,1.38,2.85,2.02,2.26,3.13,3.49,3.1,3.78,2.25,2.5,0.78,0.59,1.72,0.65,4.75,0.21,3.32,3.37,4.9,2.09,3.7,2.74,,,,
July,,,3.17,5.38,3.76,3.95,1.79,3.14,0.03,5.91,5.53,2.4,5.16,2.58,4.41,1.97,3.63,2.32,5.32,3.96,2.1,3.03,2.55,2.45,4.75,4.64,,,,
August,,,3.66,5.43,3.71,4.51,2.72,3.86,3.1,2.89,1.42,4.2,2.96,2.82,2.32,2.16,2.42,3.59,3.16,6.57,4.63,5.97,7.49,5.36,2.35,5.2,,,,
September,,,5.78,2.39,3.58,4.13,3.46,1.98,3.23,3.81,3,2.56,4.16,4.69,2.69,4.91,4.09,3.83,1.04,2.1,3.59,2.7,3.82,1.91,0.1,0.52,,,,
October,,,5.21,2.83,3.81,5.3,4.6,3.53,3.78,1.6,0.62,2.39,2.2,3.08,2.04,3.3,4.56,1.41,1.64,3.71,2.41,3.69,2.91,3.38,4.1,4.26,,,,
November,,,4.57,2.59,3.48,4.25,2.57,3.9,1.46,1.27,3.42,1.94,4.23,3.99,4.07,1.67,2.82,2.45,3.23,1.87,7.96,2.08,4.55,1.85,2.12,3.07,,,,
December,,,4.6,1.03,2.87,2.02,6.91,3.23,2.62,1.33,2.37,2.37,3.21,1.99,3.84,1.68,4.96,2.44,2.38,2.87,1.62,6.31,1.88,3.34,3.16,3.52,,,,
Total,,,47.72,31.07,31.17,35.71,33.74,37.57,29.58,30.99,29.94,27.98,36.74,32.32,33.34,26.57,37.96,23.52,30.21,33.46,35.83,36.15,37.59,29.26,37.52,32.14,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886 arithmetic on record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref for Derrygally House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
