ANNACARTER SCHOOLHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IO1928305780,Long,-6.220083,Lat,53.089528,Elevation,750,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,5.59,12.64,7.97,7.53,6.04,12.03,7.29,6.84,7.24,4.62,7.23,8.08,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,5.82,5.87,2.35,5.05,5.72,1.7,5.75,0.75,2.8,1.84,3.66,1.77,6.65,9.08,2.01,3.46,3.41,1.63,4.3,4.89
February,,9.66,3.02,1.19,2.21,3.55,4.87,5.05,3.74,3.84,4.71,6.82,9.76,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,1.25,3.85,1.77,4.2,0.88,3.35,1.85,1.36,0.78,5.12,2.55,5.9,2.23,6.03,7.62,4.98,1.21,4.58,4.15
March,,9.15,5.21,4.42,5.64,3.36,8.09,7.57,3.3,4.51,9.29,2.75,8.75,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,4.17,2.13,5.29,6,3.95,2.57,1.6,4.05,4.67,2.63,1.7,5.03,3.64,3.92,1.29,5.94,4.52,2.38,2.45
April,,3.51,4.58,1.26,1,2.16,4.83,4.86,3.45,2.69,1.01,7.51,6.49,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,2.29,3.39,1.44,1.35,3.33,2.22,4.2,3.05,5.79,2.67,3.45,1.68,4.24,1.52,2.08,2.95,1.16,2.41,1.8
May,,2.27,4.15,1.24,0.28,5.54,1.45,7.22,2.32,8.84,4.18,0.43,3.57,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33,1.7,2.5,2.85,0.55,0.75,3.75,4.68,2.76,1.2,2.22,1.57,2.27,5.48,2.05,3.26,5.31,4.18,2.59,2.03
June,,3.59,5.18,3.17,0.98,1.18,7.84,1.15,2.37,1,0.96,3.7,4.36,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71,2.85,3.45,2.35,3.7,2.13,1.13,4.15,1.4,3.2,5.59,2.34,5.08,1.52,1.82,1.49,2.3,1.61,2.3,1.89
July,,8.27,6.72,1.56,1.35,3.8,1.4,2.89,1.53,1.34,0.8,6.68,1.7,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21,2.47,4.4,5.3,2.6,1.5,0.97,2.34,2.92,2.63,2.78,3.08,4.31,0.58,3.79,7.06,1.87,1.86,3.8,1
August,,6.32,4.96,5.33,2,4.9,5.31,2.08,6.2,1.45,3.33,3.97,6.52,6.46,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75,3.88,5.45,4.5,2.32,10.5,2.25,2.65,2.54,0.96,7.02,2.38,9.04,1.47,3.06,1.65,2.59,10.27,1.44,3.48
September,,6.79,4.49,5.04,4.4,1.27,4.49,3.41,9.59,6.5,3.05,7.87,4.4,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,6.12,3.96,5.47,2.6,2.64,0.68,0.76,6.51,1.91,0.93,1.84,1.22,4.06,1.42,1.65,2.49,1.47,6.18,3.02
October,,3.85,4.76,8.84,11.56,2.41,4.71,4.36,2.69,3.27,9.42,4.64,7.85,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76,4.34,3.65,4.45,0.45,1.04,6.45,8.45,3.33,6.39,3.36,6.11,3.9,9,3.01,9.47,9.45,3.92,4.09,2.47
November,,6.18,4.93,4.6,10.26,5.62,4.03,1.47,6.03,3.63,2.74,3.93,7.5,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,8.72,4.54,8.3,3.33,1.35,6.1,3.15,3.35,2.93,1.67,5.04,6.11,1.82,5.93,6.03,5.43,8.45,1.99,4.82,3.73
December,,5.69,6.8,3.09,4.59,10.89,4.21,3.75,11.9,6.18,2.63,2.44,11.78,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5.35,2.9,3.5,2.9,2.8,3.4,4.7,3.99,6.24,11.19,9.86,3.85,2,11.35,7.58,3.66,3.21,5.04,8.27
Total,,70.87,67.44,47.71,51.8,50.72,63.26,51.1,59.96,50.49,46.74,57.97,80.76,46.89,,,,,,,,,,,,,,,,,,,,,,,,,,,54.25,44.83,46.33,45.3,33.74,37.32,35.67,39.48,37.64,37.28,52.21,42.76,50.75,49.23,46.01,52.04,53.4,37.03,43.93,39.18
