MORECAMBE (98 BARE LANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD455644,Long,-2.83436,Lat,54.072632,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3034/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.88,4.87,3.07,4.33,,3.37,2.08,4.5,3.83,2.62,0.67,4.14,5.98,4.97,3.49,4.15,3.51,7.18,2.37,1.87,4.17,3.85,2.1,3.48,2,2.9,3.93,3.93,2.34,5.45
February,3.15,0.04,3.04,0.12,,1.77,5.23,1.37,2.66,1.7,3.98,1.49,2.1,1.47,4.2,3.42,0.92,2.09,1.98,4.18,3.25,1.16,1.23,3.1,1.68,0.42,2.88,5.24,1.22,3.36
March,0.47,2.49,2.25,1.74,,1.45,1.87,1.3,1.55,3.3,2.63,1.89,1.09,0.55,2.52,1.03,5.65,2.4,2.04,2.26,3.8,2.3,0.52,2.41,1.12,1.06,2.63,1.63,2.63,1.48
April,1.81,1.9,1.79,2.84,,0.47,3.25,0.25,2.29,1.4,1.22,1.72,2.77,3.21,1.75,1.26,3.38,1.39,3.82,2.56,1.84,3.34,3.13,1.14,2.45,1.34,0.56,1.43,2.24,2.96
May,2.02,5.47,2.56,4,,1.38,2,3.45,0.84,1.64,2.89,3.13,4.32,2.97,2.9,1.78,3.08,1.47,2.78,1.31,1.34,2.37,1.84,2.95,3.1,2.56,3.26,4.36,1.85,2.17
June,7.17,1.96,1.54,2.59,,3.1,2.7,4.07,3.28,0.51,0.42,0.91,2.44,3.29,4.1,2.98,3.01,5.42,0.58,2.45,1.32,4.13,1.52,3.73,3.49,2.11,1.82,3.89,3.99,1.23
July,5.2,5,5,2.26,,3.2,2.55,4.28,6.02,3.89,1.33,4.32,5.5,2.97,2.84,5.13,3.58,2.58,3.71,4.18,2.43,1.62,4.72,5.7,1.66,4.24,3.44,2.75,4.16,5.54
August,3.27,1.43,2.47,3.84,,3.29,2.49,2.74,2.03,1.59,3.74,4.41,6.8,3.23,1.22,4.87,0.41,3.91,2.77,6.24,3.93,5.18,3.82,4.31,1.23,10.12,3.95,4.11,0.29,5.28
September,2.41,4.95,0.9,4.06,,5.25,2.3,1.32,1.26,4.77,1.28,4.46,5.05,4.71,4.23,5.69,3.86,5.47,1.06,7.23,3.8,3.65,4.62,7.31,3.25,2.76,6.04,4.47,0.56,4.08
October,3.39,5.38,5.57,5.25,,3.26,1.62,8.51,0.93,5.61,6.64,4.49,4.98,4.52,5.03,0.41,0.29,2.83,5.44,4.35,1.31,3.38,1.76,9.01,2.34,3.41,6.16,4.91,3.61,2.83
November,6.22,2.94,1.52,1.42,,4.56,1.77,5.03,5.31,4.6,2.15,1.07,3.23,6.18,0.1,6.02,5.9,3.82,4.61,5.07,6.82,1.87,5.06,6.16,1.64,1.6,1.45,1.46,4.1,7.07
December,4.03,2.99,0.58,4.13,,5.18,2.25,4.49,2.58,4.57,1.35,4.71,2.1,3.29,2.54,4.97,2.3,2.77,5.92,2.44,8.98,4.54,2.32,4.95,4.64,4.04,4.38,3.23,7.25,4.6
Total,43.02,39.42,30.29,36.58,,36.28,30.11,41.31,32.58,36.2,28.3,36.74,46.36,41.36,34.92,41.71,35.89,41.33,37.08,44.14,42.99,37.39,32.64,54.25,28.6,36.56,40.5,41.41,34.24,46.05
