MORECAMBE (139 BARE LANE),,,,,,,,,,,,,,,,,,,,
Grid ref,SD452648,Long,-2.8390164,Lat,54.076195,Elevation,25,ft,,,,,,,,,,,,
Station no,3034/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,4.13,2.39,4.89,4.37,2.59,0.63,3.92,6.08,4.93,3.69,,,,,
February,,,,,,1.94,5.44,1.55,2.7,1.87,4.26,1.67,2.19,1.73,4.35,,,,,
March,,,,,,1.72,1.65,1.38,1.72,3.6,2.66,2.01,1.08,0.57,2.6,,,,,
April,,,,,2.6,0.5,3.04,0.38,2.33,2.02,1.28,1.81,2.92,3.21,2,,,,,
May,,,,,1.34,1.75,2.03,3.43,0.92,1.61,2.9,3.18,4.45,3.12,2.93,,,,,
June,,,,,3.98,3.15,2.63,4.42,3.37,0.49,0.39,0.92,2.5,3.15,3.93,,,,,
July,,,,,1.77,3.54,2.48,4.36,6.46,3.68,1.23,4.21,5.24,3,3.07,,,,,
August,,,,,2.81,3.03,2.27,2.81,2.07,1.47,3.75,4.34,6.85,3.35,1.19,,,,,
September,,,,,8.92,5.82,2.86,1.43,1.35,4.91,1.27,4.38,4.99,5.16,4.39,,,,,
October,,,,,6.41,3.22,2.09,8.86,0.98,5.59,6.47,4.75,5.04,4.59,5.15,,,,,
November,,,,,4.21,5.07,1.85,5.76,5.36,4.76,2.06,1.04,3.26,6.52,0.09,,,,,
December,,,,,2.73,5.63,2.42,4.61,2.58,4.51,1.72,4.69,2.09,3.28,2.63,,,,,
Total,,,,,,39.5,31.15,43.88,34.21,37.1,28.62,36.92,46.69,42.61,36.02,,,,,
,,,,,,,,,,,,,,,,,,,,
station renumbered from 3050/7 Jan 1938 - river division boundary change,,,,,,,,,,,,,,,,,,,,
