OVER DARWEN PICKUP BANK NO 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD722236,Long,-2.422632,Lat,53.708078,Elevation,720,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,2.54,2.44,3.6,3.98,2.31,2.13,4.12,7.52,6.18,3.51,4.57,4.77,5.23,2.07,6.66,1.89,4.04,2.85,5.57,2.29,3.78,4.9,3.78,6.58,3.92,3.64,3.81,5.96,4.46,6.49,3.51,,,,,,,,
February,,,2.39,7.27,4.52,0.4,2.76,4.68,3.56,1.95,3.87,2.17,1.75,4.57,4.99,2.82,4.58,2.29,4.28,2.71,4.89,5.43,2.35,2.03,3.98,7.63,4.47,1.21,6.03,1.19,2.92,0.32,4.46,,,,,,,,
March,,,1.06,1.15,3.57,4.99,6.8,6.32,2.84,2.72,0.4,4.16,3.56,6.32,3.18,3.95,3.84,4.07,3.81,3.41,1.2,2.28,7.18,6.04,5.55,1.69,1.74,2.25,1.84,4.89,4.65,3.37,3.3,,,,,,,,
April,,,2.12,0.61,1.55,3.03,2.42,4.81,3.06,4.98,2.79,3.21,3.29,2.43,3.43,4.01,2.26,2.35,2.63,4.06,4.65,3.33,0.95,6.44,1.76,2.45,3.9,2.72,1.19,2.94,5.59,2.08,3.05,,,,,,,,
May,,,6.51,2.4,2.92,0.78,0.74,2.89,3.82,3.92,2.69,1.27,3.31,3.74,3.01,0.66,4.42,4.38,3.21,2.87,4.27,2.44,2.43,4.16,2.5,1.49,2.61,1.49,3.11,1.73,5.36,3,1.87,,,,,,,,
June,,,3.51,2.37,2.54,2.51,4.22,4.16,3.53,1.76,3.29,2.57,1.71,1.54,1.58,3.87,1.27,8.51,2.21,3.44,3.69,4.52,6.54,3.25,2.19,1.94,3.28,3.61,2.13,1.44,3.21,0.45,2.97,,,,,,,,
July,,,1.68,2.69,4.61,7.3,2.87,2.01,0.9,1.92,1.83,2.98,4.11,4.51,1.96,2.89,2.23,2.92,4.83,7.09,5.13,0.48,5.19,1.73,5.3,4.23,3.34,2.34,3.67,2.27,6.31,1.73,4.87,,,,,,,,
August,,,5.06,2.74,5.39,4.46,3.33,6.76,5.8,1.71,6.05,2.79,2.83,5.51,4.9,5.35,4.15,5.08,4.5,4.12,6.96,4.1,7.84,2.51,3.54,4.56,2.74,7.47,3.25,4.04,2.43,6.46,6.13,,,,,,,,
September,,,3.52,4.97,0.46,1.83,9.94,4.63,1.55,9.31,2.18,1.22,2.52,5.98,1.61,3.24,1.64,1.32,4.7,2.99,0.72,4.29,2.35,2.01,5.3,0.88,3.15,2.61,11.29,2.66,2.77,1.97,4.28,,,,,,,,
October,,,3.54,4.45,4.52,5.4,6.94,3.48,4.57,3.85,6.2,4.06,4.84,10.4,3.17,4.34,7.83,4.51,2.4,7.67,3.93,4.11,5.89,2.36,2.68,1.59,9.43,10.79,4.21,2.38,1.29,2.91,1.01,,,,,,,,
November,,,2.71,3.02,3.6,4.09,2.29,5.23,3.56,2.98,5.39,7.3,3.13,3.18,4.09,6.26,5,3.11,3.74,1.93,6.5,4.94,3.97,7.26,6.85,2.19,3.55,6,3,3.18,1.96,2.19,3.55,,,,,,,,
December,,,3.21,3.79,4.67,4.95,8.83,7.74,5.52,3.25,6.01,5.03,4.94,4.15,3.89,1.12,4.91,5.42,3.25,7.16,5.62,9.18,5.14,3.07,7.38,7.95,3.29,3.08,8.38,7.3,2.84,5.76,5.91,,,,,,,,
Total,,,37.85,37.9,41.95,43.72,53.45,54.84,42.83,45.87,46.88,40.27,40.56,57.1,41.04,40.58,48.79,45.85,43.6,50.3,53.13,47.39,53.61,45.76,50.81,43.18,45.42,47.21,51.91,39.98,43.79,36.73,44.91,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903 Sept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905 total edited to match sum of months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
