"OVER DARWEN PICKUP BANK NO 1",,,,,,,,,,,,
Grid ref,SD722236,Long,-2.422632,Lat,53.708078,,,,,,,
Station no,2946,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.81,3.51,4.31,4.75,5.17,2.02,6.66,1.90,3.94,2.82,,
February,4.02,2.27,1.65,4.49,4.96,2.85,4.40,2.29,4.16,2.61,,
March,0.48,3.81,3.43,6.34,3.17,3.93,3.81,4.06,3.83,3.28,,
April,2.88,2.82,3.17,2.42,3.37,3.95,2.19,2.34,2.65,3.98,,
May,2.71,1.10,3.16,3.70,2.96,0.64,4.40,4.26,3.17,2.79,,
June,3.34,2.15,1.58,1.53,1.59,3.85,1.21,8.46,2.09,3.35,,
July,2.02,2.94,3.93,4.46,1.95,2.90,2.19,2.98,4.75,7.03,,
August,6.16,2.49,2.75,5.48,4.85,5.35,4.11,5.08,4.31,4.11,,
September,2.35,1.05,2.46,5.99,1.58,3.19,1.55,1.34,4.50,3.00,,
October,6.46,3.85,4.67,10.35,3.10,4.42,7.66,4.49,2.35,7.53,,
November,5.41,6.54,2.93,3.15,4.00,6.25,4.95,3.13,3.52,1.90,,
December,6.34,4.77,4.84,4.13,3.89,1.11,4.76,5.30,3.22,7.07,,
Total,48.98,37.30,38.88,56.79,40.59,40.46,47.89,45.63,42.49,49.47,,
Calc annual,48.98,37.30,38.88,56.79,40.59,40.46,47.89,45.63,42.49,49.47,,
Difference,-0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
