ULLSWATER SWARTHFELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY470221,Long,-2.821716,Lat,54.591295,Elevation,1000,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,5.75,3.25,10.5,12.5,5,8.25,2,10.5,3.75,-999,1.5,-999,4.75,10.25,9.63,4.5,4,5.75,3,3.5,10.5,,,,,,,,,
February,6.5,4,7.5,1.5,4.25,0.5,6,4,3,-999,8,-999,5.5,11,7.5,8.75,5.5,3.25,1,1.5,1,,,,,,,,,
March,1.5,4.25,3.5,3,3.25,1.75,4.75,-999,-999,4.75,1,1.5,5.5,3.75,4.5,5,5,2.25,5,2.5,3,,,,,,,,,
April,2.5,2.5,2.25,0.5,4,1.5,3.25,-999,-999,-999,4.5,-999,6,3.5,3,3.5,4,3.25,3.5,4.5,1.25,,,,,,,,,
May,5.25,1.75,2,1.25,1.5,2.75,-999,-999,-999,-999,2,-999,3,3.5,2.5,2.5,6.75,2,3.5,4.25,3,,,,,,,,,
June,1.25,2.25,4.25,2.25,1.75,3.75,-999,-999,-999,-999,3.5,4.25,4.5,4,1.5,2,2.5,0,1.25,1.25,3.5,,,,,,,,,
July,0.75,4,4,4.25,2.5,2.5,2.5,6.25,0.5,-999,6.25,5,5,5,7.5,0.25,6,3.25,7.25,3,3.5,,,,,,,,,
August,2.5,2,5.25,4.75,8.75,2,4.5,6.75,4.5,6.5,0.25,7.25,4,5.5,1.5,3.75,2.25,3.5,3.75,4.25,,,,,,,,,,
September,3.5,3.75,6.5,2.5,9.5,4.75,3.5,-999,5,4.5,6,4,3,6,6.75,6,6.5,5.63,1,2,,,,,,,,,,
October,11.75,6.5,9,3.5,11.75,4.5,3.75,-999,-999,-999,2,-999,3.5,6.25,3,6.75,7.5,3.5,8,7.5,,,,,,,,,,
November,4.25,0.75,8.5,2.75,2.75,4.5,3.25,,-999,-999,8,-999,6.25,7,4,2.5,5,4,8.25,1.5,,,,,,,,,,
December,2.75,8.75,8,3.75,2.5,5.75,10.5,4.5,3.75,3,5.25,5.5,5,3.75,7,3,7.75,5,5.5,3.5,,,,,,,,,,
Total,48.25,43.75,71.25,42.5,57.5,42.5,48.5,,45.25,43,48.25,51.5,56,69.5,58.38,48.5,62.75,41.38,51,39.25,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876 May/Jun = 4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877 Mar/Arp=6.25; May/June=8.00; Sept/Oct=8; Nov no record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878 Marc/Arp=3.75; May/June=11.0; Oct/Nov=10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879 Jan/Feb=5.75; Apr/May=3.75; Jun/July=11.0; Oct/Nov=3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881 Jan/Feb=3.0; Apr/May=10.0; Oct/Nov=11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
