ULLSWATER SWARTH FELL - monthly gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY470221,Long,-2.821716,Lat,54.591295,Elevation,1000,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,6.6,2.9,3.3,12,4.4,3,3.4,8,2.5,3,1.7,4.5,9.5,4.8,2.8,2.6,10,7.8,2.3,7.7,1,4.2,
February,,,,,,,,4.2,0.9,1.5,1.1,0.3,3,4.7,11,0.7,3.3,4,4.5,5.5,7,1.6,2.1,11.5,4.5,2.5,3.3,3,2.5,
March,,,,,,,,2,5,2.6,2.3,2.2,1,4.5,4.5,6,7.3,8.9,1,3,0.5,3.3,2.5,16,3.4,5,2.9,3.9,5.5,
April,,,,,,,,3,3.3,4.4,1.4,3,1.3,0.5,4.1,3.1,0.9,3.3,4.4,3.5,2.8,3.3,2.7,1.3,3.8,4.8,1.5,2.3,3,
May,,,,,,,,1.6,3.6,4.1,3,3.5,3.8,2,4.7,1.5,0.3,1.7,2.2,3.7,3.5,2.1,2.8,5.3,3.1,0.7,7,6,4.2,
June,,,,,,,,0.1,1.4,1,3.6,2,4.5,3,2.5,0.7,4.1,2.7,3.5,1.3,3.7,1.9,0.6,1.6,1.6,1.9,1.3,4.5,0.7,
July,,,,,,,,3.25,7.2,3.6,3.7,4.2,2.7,4,2.5,6,4,1.3,1.5,3.6,1.7,2.5,3.3,3.5,2.3,1,1.9,1.1,3,
August,,,,,,,,3.2,3.7,4.3,4.4,10.3,9.5,4.5,4.7,6.5,2,9.5,6,0.6,3.7,3.6,2.3,8.2,4,5,4.5,4,6.3,
September,,,,,,,,5.6,0.9,1.8,4.7,8.5,5.5,4.1,0.3,0.3,7.5,5.2,2,5.3,3.1,4.4,2.8,5.2,1.6,4,1.3,0.3,4.4,
October,,,,,,,,3.3,7.5,8.3,2.9,9.5,7.5,5.4,8,5,6.5,4.4,5,3.5,7.2,4,4.3,12.2,1.4,4,8.1,8.1,2.5,
November,,,,,,,,3.9,9.5,1.3,8,6.2,4,3,6.5,9.2,2,4.2,5.5,8.8,3.7,5,5,3.4,3.2,5.6,4.3,4.3,3.3,
December,,,,,,,,5.3,6.6,4.2,0.4,11.7,1.3,8,5.6,4.5,7,14.5,10,3,11.3,5.5,7.8,5.6,4.2,2,2.2,7.5,3.5,
Total,,,,,,,,42.05,52.5,40.4,47.5,65.8,47.1,47.1,62.4,46,47.9,61.4,50.1,51.3,53,40,38.8,83.8,40.9,38.8,46,46,43.1,
