LIMPSFIELD-KENT-HATCH-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ436515,Long,0.055958,Lat,51.244606,Elevation,664,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,68/3/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.4,2,2.4,1.1,5.1,5.45,3.9,4.4,2.6,2.7,3.6,5.95,2.1,5.48,2.49,3.39,4.24,1.33,1.1,3.2,2.33,1.39,1.67,3.2,4.14,2.43,2.91,2.5,2.8
February,2.5,0.6,2.1,0.2,3.8,1.85,4.7,1.1,1.5,2.4,2.75,0.9,2,1.14,2.04,3.45,2,3.24,1.23,5.3,6.3,0.93,1.81,2.26,2.1,0.62,4.5,2.32,0.02,2.01
March,0.4,1.5,3.3,2.3,0.34,1.35,3.2,0.5,1.7,3,3.26,2.35,0.4,0.04,1.3,2.42,7.23,0.78,1.18,1.25,4.4,3.52,0.49,2.3,1.45,1,1.56,1.84,1.8,1.9
April,4.4,2.4,0.8,2.7,3.4,2.47,3.2,0.9,2.7,1.8,1.65,1.4,1.34,1.82,1.2,3.72,1.93,1.98,1.9,2.8,2.73,1.63,2.69,0.3,0.35,1.83,0.25,1.27,1.8,0.75
May,2.8,4.4,2.5,0.7,1.8,0.47,2.3,3,1.7,1.9,2,3.4,2.64,0.71,2.82,4.55,2.1,1.95,1.92,1.25,2.2,1.54,1.66,3,4.49,0.65,1.55,1.75,0.8,1.9
June,1.5,1.5,1.3,1.7,2.9,3,2.3,0.6,0.8,0.3,2.3,0.05,1.47,2,1.87,3.05,3.23,4.17,1,1.6,1.76,1.57,1.72,3.35,2,3.73,1.88,4.47,1.3,1.3
July,2.8,2.8,2,1.5,0.85,3.8,0.9,1.8,2.4,3,2.2,2.3,2.23,1.96,3.84,2.46,2.01,2.02,0.62,2.08,2.4,0.74,4.06,3.52,0.75,3.62,3.45,2,1.5,3.3
August,5.4,0.7,0.8,2.6,3.69,0.6,1.18,1.7,2.6,0.1,4.8,2.95,1.48,3.52,2.28,5.14,0.24,5.68,1,2.6,5.22,4.2,2.02,3.5,1.7,3.05,2.95,3.3,1,3
September,2.3,2.3,3.1,1.8,4,1.9,1.9,2.45,1.2,1.5,0.65,,2.59,3.87,1.74,3.83,1.42,1.92,1.01,3.15,2.19,2.96,4.2,1.9,2.48,3,2.86,6.4,0.1,4.2
October,0.8,6.9,1.6,2,4.3,2.4,3.2,3.3,7.5,3.54,1.3,,3.49,5.23,3.21,1.33,0.34,2.2,8.85,0.2,1.55,3.26,4.24,2.52,5.53,1.75,1.62,3.15,3.4,7.25
November,3.8,1.5,1.1,3.8,6.2,4.7,1.7,3.2,6,8.15,3.5,2.1,2.26,5.14,1.1,5.38,1.42,2.12,3,6.2,5.25,4.46,1.7,5.3,1.3,0.98,3.1,1.95,2.6,5.4
December,0.6,0.7,0.6,6.6,3.88,2.5,4.7,3.5,1.6,2.2,2.97,3.23,2.04,2.4,3.87,3.34,3.3,4.62,2.11,2.4,2.63,2.7,0.92,1.68,3.03,4,2.25,3.8,5,3.4
Total,,27.7,21.2,28.3,36.26,30.14,34.73,25.95,34.1,30.49,30.08,,27.89,29.93,30.75,41.16,28.61,34.92,25.15,29.93,39.83,29.84,26.9,31.3,28.38,28.37,28.4,35.16,21.82,37.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record originally published under Thames Darrent 3 up to and including 1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Jan 27 Gauge fitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Sep Oct apportioned and adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Feb Estimated possibly for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Mar Gauge tested and found to be sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Jan 18 Inspection Gauge sound Measure M/O Site beside reservoir o/s Recommended lop and remove trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 July Estimated Gauge damaged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual average 1954-1959 might be 1in to 1.5in low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period of average 1916-1950 Rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Kent Hatch Res SRC_ID 6836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station still in use 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
