MOTTRAM-HILL-END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ989943,Long,-2.0180281,Lat,53.445466,Elevation,680,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,0.63,2.48,5.13,1.33,3.06,4.36,4.96,3.24,3.03,2.96,1.36,4.3,3.24,3.92,4,2,5.23,4.89,1.33,0.49,0.58,3.63,4.74,6.44,2.57,6.01,1.65,2.04,1.86,3.26,2.82,3.31,1.68,3.02,2.54,1.51,1.38,2.55,4.13,4.13,2.02,3.06,2.7,3.28,2.3,4.39,,,
February,,1.83,0.82,1.36,3.47,3.17,3.93,4.79,2.86,5.58,1.14,3.33,3.86,0.44,1.96,0.78,4.28,4.28,1.08,3.07,3.33,4.88,4.22,2.61,2.57,2.7,0.71,0.55,1.27,2.16,0.5,0.36,2.64,4.23,5.01,0.45,2.34,2.05,2.97,0.96,2.72,1.63,1.27,3.36,3.7,2.22,3.33,,,
March,4.52,6.13,3.25,0.99,2.63,2.07,1.9,1.33,5.23,1.31,2.67,1.39,3.21,2.61,3.96,0.71,4.35,3.82,2.08,1.61,2.66,5.05,3.06,0.65,2.3,2.87,3.1,1.65,2.79,3.67,4.19,2.14,1.09,0.71,3.19,3.48,4.95,3.1,1.75,1.8,0.92,2.57,2.07,4.4,2.06,4.39,3.47,,,
April,1.53,1.27,3.17,1.92,1.25,2.08,0.97,6.35,2.54,2.66,2.35,3.91,3.98,0.64,1.55,1.11,2.97,2.33,2.55,1.74,1.95,1.06,3.3,1.95,1.75,1.62,2.57,1.69,2.82,2.29,0.81,1.98,1.32,0.59,1.92,1.43,1.99,3.09,2.5,3.26,2.72,2.52,2.18,2.02,2.44,2.8,2.47,,,
May,3.99,1.29,4.85,2.02,3.42,3.56,2.02,2.56,1.71,4.28,1.5,1.95,3.09,3.03,1.94,2.13,1.64,3.79,3.44,2.07,2.54,4.1,1.43,1.43,1.94,2.56,8.42,2.52,1.09,2.04,2.79,3.56,4.53,2.54,2.54,1.45,0.62,1.97,3.98,2.69,1.42,0.86,2.94,2.29,2.74,0.84,4.1,,,
June,7.61,1.94,4.03,4.44,3.98,1.12,5.54,2.55,0.28,1.53,2.08,4.56,8.15,2.71,0.91,2.8,3.91,2.64,2.43,5.03,2.96,2.08,7.71,5.39,2.04,4.23,2.24,0.53,3.13,0.63,4.14,2.54,3.46,2.31,3.66,2.17,3.12,3.3,3.25,2.12,4.33,1.68,1.62,1.34,0.93,3.2,1.79,,,
July,2.99,5.66,5.08,1.96,1.85,2.99,4.8,6.42,1.7,1.12,2.31,5.14,5.48,4.46,2.19,4.28,3.32,4.43,0.56,4.46,6.22,4.35,5.85,3.75,3.75,2.08,4.03,1.1,6.31,3.09,3.74,3.37,3.59,3.48,3.35,6.48,2.18,2.72,1.21,2,3.58,2.52,2.43,3.23,1.65,2.07,3.01,,,
August,5.29,2.92,2.73,5.96,2.83,4.22,5.97,2.92,2.9,2.5,2.25,1.72,3.37,4.31,4.3,3.43,3.78,5.56,5.5,6.35,1.78,4.87,3.63,4.09,4.06,1.55,2.36,2.02,3.8,6.12,5.3,7.29,4.4,3.18,5.18,3.93,2.78,3.93,5.88,2.1,5.08,1.98,2.57,4.19,4.15,4.42,3.38,,,
September,2.71,4.65,5.65,6.16,5.16,0.65,7.37,3.05,1.93,6.54,2.98,4.91,7.87,2.55,4.55,4.64,4.16,1.98,5.02,3.03,5.45,2.72,2.8,5.98,3.93,4.59,3.39,3.89,1.94,3.57,1.14,3.9,3.68,4.56,0.63,1.16,6.97,4.68,0.48,5.81,1.56,0.68,1.26,4.58,1.34,2.81,1.53,,,
October,4.5,1.16,5.43,6.48,2.75,4.97,2.86,4.48,5.64,3.7,9.56,4.16,5.85,4.45,3.35,5.23,2.31,4.18,3.81,2.99,3.06,3.4,3.73,6.85,2.9,9.96,6.54,2.61,1.92,4.04,2.81,5.3,6.78,2.88,4.18,3.52,4.73,1.76,3.44,3.41,4.2,3.47,5.15,7.79,1.5,3.37,5.49,,,
