"KELSO (SPRINGWOOD PARK)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5054,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,1.82,3.76,1.78,1.37,1.55,1.32,2.46,2.04,2.72,0.97,1.92,
February,2.11,0.21,1.99,2.51,0.61,4.33,2.80,0.74,1.77,1.02,0.96,
March,2.30,1.48,1.47,0.87,0.69,1.83,1.08,1.99,3.26,0.10,1.97,
April,1.69,0.59,2.06,1.62,0.98,2.08,2.48,1.21,0.78,1.01,1.24,
May,2.66,1.34,0.41,1.90,3.38,3.02,2.22,1.53,1.32,0.68,0.53,
June,0.86,0.72,1.47,0.82,,0.27,2.66,2.77,3.55,1.85,1.09,
July,2.55,2.46,3.45,1.36,,1.80,4.56,2.65,1.83,3.01,5.10,
August,3.16,4.56,2.31,3.93,2.72,2.46,3.61,6.23,3.67,3.95,3.97,
September,1.55,1.31,2.43,1.50,2.07,3.83,3.91,4.34,1.29,0.35,2.30,
October,1.03,2.55,2.59,1.73,2.71,2.01,3.70,1.92,2.73,2.27,3.01,
November,1.06,1.30,0.40,3.54,0.85,1.50,2.07,2.22,2.22,2.65,2.48,
December,2.23,1.91,1.63,2.15,2.33,4.13,0.57,1.98,1.39,3.32,1.36,
Total,23.02,22.19,21.99,23.30,23.93,28.58,32.12,29.62,26.53,21.18,25.93,
Calc annual,23.02,22.19,21.99,23.30,17.89,28.58,32.12,29.62,26.53,21.18,25.93,
Difference,0.00,0.00,-0.00,0.00,6.04,0.00,0.00,0.00,0.00,0.00,0.00,
