"KELSO SPRINGWOOD PARK",,,,,,,,,,,,
Grid ref,NT716334,Long,-2.452191,Lat,55.593395,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.08,1.93,1.08,3.19,1.49,0.65,1.68,1.12,1.98,1.54,,
February,4.10,1.61,0.62,2.23,1.64,0.86,1.03,0.96,1.89,1.73,,
March,1.39,1.35,0.36,1.45,1.66,2.52,1.85,1.36,3.20,4.86,,
April,1.44,1.00,1.69,0.67,1.13,3.26,0.99,2.02,1.36,2.79,,
May,0.77,1.98,2.15,0.88,1.90,0.67,5.70,3.42,1.83,1.31,,
June,3.89,1.35,1.55,0.99,1.58,1.28,1.92,3.53,1.46,1.78,,
July,2.98,3.13,1.21,2.32,1.91,1.52,2.36,2.65,2.19,2.00,,
August,5.05,2.54,1.69,2.86,2.40,3.67,5.33,2.87,1.74,2.02,,
September,1.10,0.76,0.48,1.94,0.46,2.10,0.46,0.84,1.95,1.96,,
October,3.59,0.97,1.07,5.73,0.92,2.52,6.15,6.00,2.58,3.09,,
November,4.27,3.12,0.41,1.11,1.67,3.45,3.01,1.82,1.23,0.44,,
December,2.79,3.55,2.10,0.83,1.68,0.64,3.24,2.79,0.55,3.22,,
Total,34.45,23.29,14.41,24.20,18.44,23.14,33.72,29.38,21.96,26.74,,
Calc annual,34.45,23.29,14.41,24.20,18.44,23.14,33.72,29.38,21.96,26.74,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
