PERTH CRAIGIE ROAD,,,,,,,,,,,,
Grid ref,NO114220,Long,-3.436400,Lat,56.381951,,,,,,,
Station no,RR7696,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.60,3.72,1.20,2.16,3.05,,
February,,,,,,0.96,1.40,1.37,1.50,0.89,,
March,,,,,,3.33,2.00,2.56,3.83,4.31,,
April,,,,,,1.47,0.91,1.78,0.92,3.25,,
May,,,,,,1.71,4.79,3.15,1.98,2.95,,
June,,,,,,0.63,1.37,4.26,2.35,1.43,,
July,,,,,,1.28,1.39,2.50,2.32,3.49,,
August,,,,,,2.71,4.50,3.58,2.76,2.01,,
September,,,,,,1.10,1.37,0.90,4.00,1.51,,
October,,,,,,2.25,3.46,5.20,2.11,4.49,,
November,,,,,,4.57,3.43,1.57,2.49,0.50,,
December,,,,,,2.28,1.58,4.41,1.72,3.35,,
Total,,,,,,22.89,29.92,32.48,28.14,31.23,,
Calc annual,0.00,0.00,0.00,0.00,0.00,22.89,29.92,32.48,28.14,31.23,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
