PERTH CRAIGIE ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,NO114220,Long,-3.4364,Lat,56.381951,Elevation,56,ft,,,,,,,,,,,,
Station no,RR7696,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,0.6,3.72,1.2,2.16,3.05,3.43,0.64,3.08,5.17,2.23,2.23,3.71,1.68,2.65,2.58
February,,,,,,0.96,1.4,1.37,1.5,0.89,2.48,2.35,2.64,1.06,3.17,4.93,4.38,0.81,2.71,1.53
March,,,,,,3.33,2,2.56,3.83,4.31,1.7,0.89,2.65,4.98,3.46,1.56,3.66,2.41,1.09,2.29
April,,,,,,1.47,0.91,1.78,0.92,3.25,4.5,0.97,0.25,2.52,0.69,1.34,1.78,1.54,0.92,
May,,,,,,1.71,4.79,3.15,1.98,2.95,0.95,1.05,1.38,2.23,1.63,1.52,3.7,2.46,3.53,
June,,,,,,0.63,1.37,4.26,2.35,1.43,1.22,1.69,3.4,1.72,0.27,1.76,2.29,1.75,0.42,
July,,,,,,1.28,1.39,2.5,2.32,3.49,5.43,1.86,1.93,0.84,3.09,2.14,6.38,1.08,5.21,
August,,,,,,2.71,4.5,3.58,2.76,2.01,7.47,1.3,3.92,0.92,2.23,5.72,2.89,5.92,3.55,
September,,,,,,1.1,1.37,0.9,4,1.51,0.85,0.87,2.21,1.98,0.63,1.98,1.34,1.24,3.96,
October,,,,,,2.25,3.46,5.2,2.11,4.49,2.18,1.92,3.36,1.5,2.03,2.55,5.07,2.61,3.51,
November,,,,,,4.57,3.43,1.57,2.49,0.5,3.07,3.95,2.46,2.31,4.21,1.95,4.23,3.03,1.9,
December,,,,,,2.28,1.58,4.41,1.72,3.35,2.66,3.92,4.25,1.29,6.83,5.74,3.45,1.76,1.7,
Total,,,,,,22.89,29.92,32.48,28.14,31.23,35.94,21.41,31.53,26.52,30.47,33.42,42.88,26.29,31.15,
,,,,,,,,,,,,,,,,,,,,
Station no,RR7696,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
