"LEIGH (MIDDLETON GREEN)",,,,,,,,,,,,
Grid ref,SJ995354,Long,-2.008881,Lat,52.916022,,,,,,,
Station no,2361/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.50,3.18,0.98,1.40,3.00,4.30,2.45,2.73,3.52,5.30,,
February,2.70,1.05,2.12,2.83,2.18,0.65,2.61,4.49,0.48,2.00,,
March,4.75,2.70,2.00,2.60,3.04,1.83,2.75,2.14,2.38,2.02,,
April,2.65,3.28,2.76,0.42,1.92,1.59,0.34,0.78,3.03,1.48,,
May,3.26,2.62,2.84,2.75,3.43,0.98,0.98,3.08,0.92,2.24,,
June,1.66,2.75,2.78,4.21,3.92,2.37,2.04,4.88,1.37,2.85,,
July,1.46,3.09,4.45,3.81,0.72,4.35,3.85,4.35,2.23,3.63,,
August,5.10,2.78,3.13,4.30,1.19,5.66,4.96,3.52,0.95,4.90,,
September,3.48,1.71,2.32,3.48,2.69,3.28,6.80,4.24,0.16,5.32,,
October,0.77,4.24,1.69,5.54,1.66,1.96,2.50,2.69,2.16,5.33,,
November,7.99,1.78,2.05,5.85,2.26,1.37,1.92,1.81,3.94,4.37,,
December,3.09,3.59,0.94,4.05,3.26,4.03,2.05,3.73,4.12,3.38,,
Total,39.41,32.77,28.06,41.24,29.27,32.37,33.25,38.44,25.26,42.82,,
Calc annual,39.41,32.77,28.06,41.24,29.27,32.37,33.25,38.44,25.26,42.82,,
Difference,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
