LEIGH-MIDDLETON-GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ995354,Long,-2.0088813,Lat,52.916022,Elevation,597,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2361/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.94,2.59,2.93,4.77,3.65,2.44,3.22,2.27,6.56,1.89,1.34,2.5,3.18,0.98,1.4,3,4.3,2.45,2.73,3.52,5.3
February,,,,,,,,,,2.02,2.88,1.62,1.3,1.72,2.81,5.9,1.48,1.46,0.9,4.84,2.7,1.05,2.12,2.83,2.18,0.65,2.61,4.49,0.48,2
March,,,,,,,,,,2.48,3.57,2.09,0.93,0.36,1.34,1.09,5.36,0.99,2.18,1.1,4.75,2.7,2,2.6,3.04,1.83,2.75,2.14,2.38,2.02
April,,,,,,,,,1.91,2.5,1.21,0.95,1.3,2.72,1.95,1.29,2.09,2.35,2.87,3.45,2.65,3.28,2.76,0.42,1.92,1.59,0.34,0.78,3.03,1.48
May,,,,,,,,,1.68,1.79,2.91,3.15,2.55,0.89,3.8,1.62,2.65,1.72,2.03,1.02,3.26,2.62,2.84,2.75,3.43,0.98,0.98,3.08,0.92,2.24
June,,,,,,,,,2.22,0.84,0.98,0.02,3.79,2.87,3.85,1.95,1.98,4.33,0.72,1.55,1.66,2.75,2.78,4.21,3.92,2.37,2.04,4.88,1.37,2.85
July,,,,,,,,,5.89,3.7,4.32,,2.08,3.7,1.13,2.62,3.92,2.55,2.22,2.33,1.46,3.09,4.45,3.81,0.72,4.35,3.85,4.35,2.23,3.63
August,,,,,,,,,2.73,0.81,4.75,3.03,3.21,2.62,3.32,5.54,0.93,5.29,2.44,4.58,5.1,2.78,3.13,4.3,1.19,5.66,4.96,3.52,0.95,4.9
September,,,,,,,,,0.81,1.54,0.33,1.91,3.86,3.34,1.5,4.85,1.72,2.94,0.86,4.69,3.48,1.71,2.32,3.48,2.69,3.28,6.8,4.24,0.16,5.32
October,,,,,,,,,3.49,4.23,3.73,3.05,2.46,3.95,4.5,1.02,0.49,2.39,4.3,1.38,0.77,4.24,1.69,5.54,1.66,1.96,2.5,2.69,2.16,5.33
November,,,,,,,,,4.81,7.78,3.18,0.99,2.61,4.82,0.44,5.25,3.11,1.9,4.46,4.2,7.99,1.78,2.05,5.85,2.26,1.37,1.92,1.81,3.94,4.37
December,,,,,,,,,2.02,2.93,1.76,3.2,1.47,2.41,2.96,3.03,3.13,4.04,2.95,2.7,3.09,3.59,0.94,4.05,3.26,4.03,2.05,3.73,4.12,3.38
Total,,,,,,,,,,32.56,32.21,,30.33,33.05,30.04,37.38,29.13,36.52,27.82,33.18,39.41,32.77,28.06,41.24,29.27,32.37,33.25,38.44,25.26,42.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is Middleton Green. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
