"STRETHAM FERRY ELFORD FARM",,,,,,,,,,,,
Grid ref,TL500726,Long,0.199899,Lat,52.330989,,,,,,,
Station no,RR4832,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.25,0.32,0.43,1.53,0.95,0.94,,,,,,
February,2.30,0.42,0.77,0.37,2.15,0.82,,,,,,
March,0.34,1.81,0.85,1.65,1.00,1.75,,,,,,
April,0.33,1.94,0.86,1.24,0.53,1.36,,,,,,
May,1.18,0.78,2.41,2.13,1.44,1.37,,,,,,
June,2.03,1.58,2.45,3.11,0.49,2.59,,,,,,
July,1.02,1.13,1.36,5.47,2.49,0.69,,,,,,
August,1.92,1.31,3.18,3.15,1.57,2.24,,,,,,
September,0.41,0.77,0.68,2.12,1.41,2.83,,,,,,
October,1.68,1.57,1.25,4.48,1.42,1.09,,,,,,
November,1.58,1.51,1.02,1.73,0.76,1.64,,,,,,
December,1.86,2.02,0.84,1.03,1.37,0.67,,,,,,
Total,16.90,15.16,16.10,28.01,15.58,17.99,,,,,,
Calc annual,16.90,15.16,16.10,28.01,15.58,17.99,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,NaN,NaN,NaN,NaN,,
