ELY-STRETHAM-FERRY-ELFORD-FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL500726,Long,0.199899,Lat,52.330989,Elevation,14,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,1.38,1.55,1.07,1.94,1.26,0.49,0.66,2.04,1.3,0.64,1.44,1.37,1.72,0.92,1.06,0.93,1.72,2.25,0.32,0.43,1.53,0.95,0.94,,,,
February,,,,2.24,0.72,1.5,0.23,0.63,1.03,1.21,0.72,0.03,1.54,2.64,1.37,0.07,0.66,2.12,0.53,0.77,2.3,0.42,0.77,0.37,2.15,0.82,,,,
March,,,,0.8,0.78,0.74,1.13,1.57,2.19,0.71,1.92,0.71,0.64,0.34,1.04,1.28,2.85,2.47,1.09,0.57,0.34,1.81,0.85,1.65,1,1.75,,,,
April,,,,1.56,1.18,1.18,0.94,1.01,1.34,2.13,0.88,0.88,1.41,0.06,1.15,0.99,0.7,1.07,1.08,1.6,0.33,1.94,0.86,1.24,0.53,1.36,,,,
May,,,,1.01,1.04,3.13,2.77,1.87,0.72,3.88,2.04,2.94,1.22,1.23,1.93,0.92,0.21,1.23,3.08,1.28,1.18,0.78,2.41,2.13,1.44,1.37,,,,
June,,,,4.28,1.18,2.02,0.86,0.53,1.81,1.43,2.51,2.02,2.96,1.12,1.88,0.89,2.52,2.32,2.43,0.77,2.03,1.58,2.45,3.11,0.49,2.59,,,,
July,,,,2.29,2.73,0.51,3.16,0.42,3.73,3.87,2.53,3.65,2.63,4.2,3.22,2.77,3.02,1.51,1.35,1.71,1.02,1.13,1.36,5.47,2.49,0.69,,,,
August,,,,0.85,1.17,1.63,2.49,1.07,2.83,1.96,1.16,5.33,2.5,3.11,2.43,3.45,1.61,2.34,2.33,1.29,1.92,1.31,3.18,3.15,1.57,2.24,,,,
September,,,,4.34,2.02,2.83,0.88,1.58,0.7,4.29,0.28,0.91,2.43,0.64,1.66,0.46,4.63,3.52,0.26,1.9,0.41,0.77,0.68,2.12,1.41,2.83,,,,
October,,,,1.21,0.97,3.9,2.42,1.71,0.63,2.92,1.33,3.84,4.22,2.96,2.05,1.93,2.97,0.94,2.24,2.21,1.68,1.57,1.25,4.48,1.42,1.09,,,,
November,,,,2.56,0.96,2.89,2.12,1.73,3.17,0.79,1.66,1.5,1.81,2.4,3.83,2.6,0.93,1.08,1.14,2.21,1.58,1.51,1.02,1.73,0.76,1.64,,,,
December,,,,0.83,1.68,0.62,2.65,0.68,1.04,1.05,0.42,2.87,1.22,1.15,1.39,1.61,2.7,1.11,2.54,0.96,1.86,2.02,0.84,1.03,1.37,0.67,,,,
Total,,,,23.35,15.98,22.02,21.59,14.06,19.68,24.9,17.49,25.98,23.22,21.29,23.32,18.69,23.72,20.77,19,16.99,16.9,15.16,16.1,28.01,15.58,17.99,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887 Apr IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
