SOMERSHAM-VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TL356780,Long,-0.009102531,Lat,52.383251,Elevation,36,ft,,,,,,,,,,,,
Station no,RR7175,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,1.04,2.5,0.88,0.93,0.69,1.01,1.1,,,,,,,,
February,,,,,,0.84,1.35,0.82,0.71,0.26,1.68,0.55,,,,,,,,
March,,,,,,1.61,1.1,0.73,1.7,2.92,0.58,1.32,,,,,,,,
April,,,,,,1.08,0.56,1.79,1.95,1.1,1.8,0.78,,,,,,,,
May,,,,,,1.44,1.27,3.15,1.04,1.3,2.36,0.65,,,,,,,,
June,,,,,,2.19,3.92,1.26,1.39,4.22,1.41,1.72,,,,,,,,
July,,,,,,1.25,0.49,2.21,2.76,2.92,2.21,0.22,,,,,,,,
August,,,,,,2.27,0.71,1.95,2.14,1.58,2.13,,,,,,,,,
September,,,,,,2.1,0.69,0.77,1.42,1.69,0.71,,,,,,,,,
October,,,,,,1.19,3.28,3.18,0.86,2.67,1.71,,,,,,,,,
November,,,,,,1.18,2.91,2.25,0.73,0.37,2.25,,,,,,,,,
December,,,,,,1.04,1.66,2.6,1.22,2.96,4.47,,,,,,,,,
Total,,,,,,17.23,20.44,21.59,16.85,22.68,22.32,,,,,,,,,
