"STANDEDGE (CASTLE SHAW BROADHEAD)",,,,,,,,,,,,
Grid ref,SD995102,Long,-2.009026,Lat,53.588382,,,,,,,
Station no,3101,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.86,2.16,2.61,3.87,3.96,2.21,5.06,1.69,3.33,2.74,,
February,3.79,1.63,1.19,4.07,3.52,2.04,3.54,2.31,3.25,2.14,,
March,0.91,2.98,2.28,5.57,2.29,3.86,3.72,3.30,3.20,3.41,,
April,2.60,2.71,1.83,2.23,2.88,3.15,2.01,2.80,2.13,3.85,,
May,1.38,1.44,3.04,3.39,3.67,0.57,3.93,4.08,2.64,2.31,,
June,5.96,1.87,1.29,1.51,0.92,2.90,1.51,7.23,2.52,2.85,,
July,3.54,3.13,2.74,4.03,1.48,2.29,2.35,3.18,5.30,6.62,,
August,5.50,2.34,3.60,5.17,4.41,4.65,3.80,4.02,4.34,3.24,,
September,1.58,0.80,2.47,5.80,1.76,3.31,1.44,0.96,4.01,2.84,,
October,5.84,3.64,5.07,9.29,1.74,3.87,7.59,6.58,1.50,6.32,,
November,3.53,6.11,1.78,3.61,3.52,5.22,4.43,3.23,2.37,1.65,,
December,5.61,5.16,3.50,2.35,3.36,0.95,3.87,4.52,3.16,7.27,,
Total,45.10,33.97,31.40,50.89,33.51,35.02,43.25,43.90,37.75,45.24,,
Calc annual,45.10,33.97,31.40,50.89,33.51,35.02,43.25,43.90,37.75,45.24,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
