STANDEDGE (CASTLE SHAW BROADHEAD) (overlap),,,,,,,,,,,
Grid ref,SD9975210276,Long,-2.0052,Lat,53.5891,Elevation,876,ft,,,
Station no,,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,4.12,3.44,4.11,,,,,
February,,,,5.82,1.43,6.69,,,,,
March,,,,2.45,1.69,2.04,,,,,
April,,,,3.63,2.29,3.11,,,,,
May,,,,4.92,6.45,4.18,,,,,
June,,,,1.14,3.66,0.11,,,,,
July,,,,5.66,4.13,2.58,,,,,
August,,,,5.58,5.86,4.56,,,,,
September,,,,4.53,5.73,4.01,,,,,
October,,,,5.51,6.68,6.65,,,,,
November,,,,7.55,2.65,3.18,,,,,
December,,,,4.16,5.86,4.16,,,,,
Total,,,,55.07,49.87,45.38,,,,,
