STANDEDGE (CASTLE SHAW BROADHEAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD9975210276,Long,-2.0052,Lat,53.5891,Elevation,876,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,1.58,1.64,2.32,4.77,3.23,3.17,1.3,3.86,2.43,2.11,1.67,3.27,6.15,4.86,2.16,2.61,3.87,3.96,2.21,5.06,1.69,3.33,2.74,5.24,1.53,3.77,3.64,3.75,6.88,3.65,3.27,2.72,5.2,4.88,7.16,3.53,5.21,3.84,4.77,5.51,5.7,12.86,2.42,7.64,7.34,6.75,3.76,4.48,2.68,4.53,5.1,7.02,6.64,2.47,1.91,5.36,6.93,8.01,5.6,6.47,4.43,11.29,2.79,3.83,6,5.71,2.61,4.9,3.2,5.46,4.79,4.52,4.57,7.04,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1.01,0.49,1.94,0.88,0.35,2.08,5.24,5.97,0.57,2.23,2.27,3.45,1.4,3.79,1.63,1.19,4.07,3.52,2.04,3.54,2.31,3.25,2.14,4.21,4.71,2,1.3,2.76,4.07,5.34,1.01,7.03,1.28,4.35,0.53,5.18,6.87,1.67,7.54,4.72,2.03,6.65,1.07,1.25,7.63,0.66,5.43,0.56,6.82,3.44,7.35,2.65,5.79,2.76,6.9,1.95,4.11,3.29,7.09,8.78,1.25,4.11,3.57,6.86,3.94,1.95,2.91,3.77,3.06,1.9,3.74,7.05,0.63,2.86,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.78,2.74,2.36,4.25,1.89,0.79,1.04,4.03,4.17,5.97,4.48,1.72,2.38,0.91,2.98,2.28,5.57,2.29,3.86,3.72,3.3,3.2,3.41,0.86,2.11,5.23,4.91,5,1.66,2.97,3.02,2.09,5.36,3.42,4.14,3.6,2.81,1.87,2.56,2.47,7.05,3.3,1.52,3.85,0.53,3.79,5.08,4.37,2.53,3.86,3.27,1.75,4.13,3.91,6.5,3.29,2.25,1.17,1.92,2.45,7.44,2.33,2.34,2.77,6.5,3.55,3.06,3.34,3.04,1.73,4.42,2.62,2.29,1.69,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,1.62,3.39,3.56,1.84,2.12,1.38,0.82,2.39,2.67,2,3.43,2.85,3.58,2.6,2.71,1.83,2.23,2.88,3.15,2.01,2.8,2.13,3.85,3.81,2.9,1.27,4.36,1.91,1.75,3.23,2.27,1.8,2.42,6.7,2.08,3.67,4.15,2.68,3.78,2.6,5.73,1.56,1.98,4.54,5.41,5.03,2.4,3.19,4.38,2.51,3.66,0.79,3.47,3.68,4.4,3,3.22,3.7,3.47,2.67,5.63,2.97,5.51,5.1,3.79,4.37,4.33,1.08,2.62,4.45,0.67,1.72,5.16,2.78,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,2.18,0.81,2.22,3.61,3.7,4.94,2.64,2.76,1.28,0.77,1.56,3.24,3.42,1.38,1.44,3.04,3.39,3.67,0.57,3.93,4.08,2.64,2.31,3.06,1.38,3.92,2.84,2.39,1.74,2.86,2.15,2.83,2.02,7.05,2.58,1.87,5.54,6.92,4.62,6.78,2.03,2.41,3.94,3.19,3.4,6.64,2.2,3.56,1.27,1.96,2.88,5.14,2.61,1.15,3.5,6,3.13,5.02,4.69,2.5,3.53,2.23,4.47,3.02,4.01,2.94,3.42,4.4,5.09,2.36,1.58,4.55,2.79,2.27,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,0.47,2.92,0.63,3.68,2.06,3.69,2.88,3.63,4.64,3.17,4.18,4.08,1.5,5.96,1.87,1.29,1.51,0.92,2.9,1.51,7.23,2.52,2.85,4.82,3.53,4.59,3.3,3.36,0.98,4.14,2.05,2.03,2.14,3.15,0.51,3.44,1.57,3.98,0.16,4.28,5.4,8.2,1.64,2.5,8.38,0.76,4.07,3.15,4.78,5.68,2.94,5.8,4.39,1.17,1.57,1.59,4.5,5.12,6.98,4.31,3.36,5.44,1.05,2.79,1.2,4.23,4.12,4.05,3.87,4.28,2.41,6.04,2.67,2.26,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,2.02,7.41,4.11,3.47,4.06,3.49,4.26,3.78,8.78,3.54,1.7,0.69,1.57,3.54,3.13,2.74,4.03,1.48,2.29,2.35,3.18,5.3,6.62,5.01,0.66,5.38,1.36,4.79,5.83,2.65,2.05,4.93,3.01,10.3,1.82,5.93,6.07,4.69,2.75,4.01,3.57,2.62,3.22,9.16,6.91,5.68,4.87,5.29,2.53,5.09,2.89,5,8.07,5.07,2.76,5.79,3.82,5.01,2.44,6.77,2.94,2.54,3.15,4.95,4.75,3.8,8.35,6.4,1.32,8.02,5,5.11,4.47,8.73,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,1.69,3.87,7.79,6.14,9.34,4.32,2.91,4.17,4.78,2.96,4.42,5.92,2.33,5.5,2.34,3.6,5.17,4.41,4.65,3.8,4.02,4.34,3.24,5.23,2.96,7.27,2.6,3.15,6.38,3.29,8.54,3.78,3.86,3.01,6.65,6.98,6.14,6.46,4.98,5.73,8.59,6.93,7.03,7.46,8.09,2.22,2.39,4.57,2.67,2.94,2.09,4.4,2.72,2.98,9.29,6.3,7.39,5.57,3.82,6.86,0.45,6.34,3.38,7.33,7.01,4.92,6.76,7.03,0.84,13.41,6.52,5.34,0.77,6.96,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,5.3,1.98,3.35,1.83,3.93,4.95,4.28,0.51,1.73,8,4.9,0.75,6.9,1.58,0.8,2.47,5.8,1.76,3.31,1.44,0.96,4.01,2.84,0.27,3.87,1.99,1.81,2.79,0.78,2.92,2.6,13.59,2.14,2.81,1.44,3.9,5.05,6.43,4.52,4.08,8.02,0.81,2.46,5.09,5.22,6.6,2.77,4.28,8.54,6.47,2.37,2.4,1.8,5.68,0.89,3.41,6,6.29,3.8,8.2,3.82,3.45,2.08,8.62,3.78,4.96,3.61,6.66,3.43,4.68,6.69,6.61,0.48,3.87,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,3.63,2.15,5.8,3.96,6.71,8.15,3.65,5.13,4.44,5.78,2.6,5.51,4.45,5.84,3.64,5.07,9.29,1.74,3.87,7.59,6.58,1.5,6.32,3.51,3.42,4.93,2.84,2.64,1.91,7.61,8.51,3.63,3.87,1.77,2.85,1.31,6.06,7.47,7.54,5.01,5.75,6.32,6.52,7.64,3.2,8.98,5.78,6.51,11.65,6.33,3.17,11.61,3.75,5.68,6.42,7.96,3.61,5.37,7.96,1.45,1.6,4.23,5.47,3.18,1.66,7.16,2.75,9.1,2.88,3.72,6.82,4.71,4.94,6.23,,,,,,,,,,,,,,,,,,,,
