HOUSE OF CORRECTION PRESTON - gauge 53 feet from ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD547298,Long,-2.6882,Lat,53.763,Elevation,187,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,,3.49,2.56,4,4.64,3,2.27,0.61,1.93,2.16,1.63,2.17,3.5,0.62,2.3,3.5,2.1,1.62,3.04,2.71,2.25,
February,,,,,,,,,,1.33,2.2,1.89,2.73,0.81,1.7,0.79,2.9,1.52,0.18,2.38,0.78,2.96,0.47,0.94,2.12,2.06,3.41,1.71,1.78,
March,,,,,,,,,,0.52,0.73,2.57,0.22,1.22,1.24,2.09,0.29,1.47,1.76,3.69,2.91,3.35,4.12,1.01,2.4,1.58,2.11,0.83,2.8,
April,,,,,,,,,,1.12,2.38,1.04,0.45,1.53,0.71,0.62,2.06,1.44,2.49,2.75,0.93,1.03,2.79,1.39,1.6,1.19,0.75,3.21,1.53,
May,,,,,,,,,,1.76,1.15,1.09,2.14,0.7,2.04,1.26,2.08,2.17,2.36,0.79,3.1,1,3.51,2.37,1.84,5.47,1.29,1.51,1.53,
June,,,,,,,,,,1.05,2.08,3.41,2.87,2.59,1.62,3.66,3.36,4.44,1.17,1.85,4.46,1.92,2.69,4.64,2.74,0.67,4.25,0.79,0.65,
July,,,,,,,,,,3.96,2.82,3.41,3.84,6.03,2.32,4.68,2.57,2.23,2.32,2.06,1.42,3.35,4.25,1.75,1.68,2.42,4.45,3.68,0.37,
August,,,,,,,,,,3.54,4.01,3.25,4.73,1.96,4.94,1.83,3.78,4.3,2.73,4.82,5.48,3.33,2.72,4.52,1.8,3.61,4.29,1.93,3.87,
September,,,,,,,,,2.5,3.55,2.29,1.25,2.81,2.4,3.02,1.31,3.61,2.47,4.02,4.38,1.94,3.79,3.47,4.77,3.1,0.45,5.96,2.37,1.19,
October,,,,,,,,,3.83,3.94,2.95,4.22,3.56,3.8,2.95,3.76,1.29,1.74,3.76,2.12,4.33,3.75,4.69,5.15,2.14,3.85,1.33,4.44,5.02,
November,,,,,,,,,2.63,3.54,3.44,1.22,5.16,2.39,3.32,1.18,2.04,1.57,1.33,1.79,2.1,3.7,1.55,3.02,3.48,2.41,5.81,2.11,1.91,
December,,,,,,,,,2.48,1.84,1.69,0.58,5.09,0.38,3.37,1.43,2.83,2.41,3,3.11,2.33,1.95,2.12,2.14,2.16,1.31,4.38,3.47,6.75,
Total,,,,,,,,,,29.64,28.3,27.93,38.24,26.81,29.5,23.22,28.74,27.92,26.75,31.91,33.28,30.75,34.68,35.2,27.16,26.64,41.07,28.76,29.65,
