CHANDLERS-FORD-FRYERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU439211,Long,-1.37578,Lat,50.98765,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,3.81,3.89,,0.35,2.51,4.62,0.8,6.87,1.15,1.56,1.09,3.41,1.35,3.53,5.41,0.61,4.24,1.13,1.14,,
February,,,,,,,,,,3.12,5.72,,2.22,1.92,3.92,0.74,3.3,1.55,1.31,0.34,4.23,1.69,2.5,1.18,5.32,5.64,5.2,1.23,,
March,,,,,,,,,,0.7,1.46,,2.51,3.63,1.32,5.29,1.32,0.74,3.94,3.98,0.97,2.42,4.18,4.04,4.09,0.96,3.17,2.27,,
April,,,,,,,,,,2.75,2.76,,1.99,3.02,1.39,1.63,0.94,3.79,2.42,1.5,2.71,2.04,0.09,3.36,1.33,1.28,0.44,2.39,,
May,,,,,,,,,,1.22,1.49,,2.82,3.03,3.55,0.64,2,2.58,1.73,2.08,1.59,1.51,1.17,2.74,1.12,3.5,1.38,1.51,,
June,,,,,,,,,,1.28,3.39,,3.65,4.26,1,3.82,2.42,1.2,2.15,5.1,3.02,1.73,4.44,0.45,0.86,1.05,1.52,3.29,,
July,,,,,,,,,,1.32,1.54,,1.19,2.53,1.63,0.62,0.42,1.14,2.25,3.4,2.01,0.13,2.15,1.17,2.73,5.11,1.11,4.26,,
August,,,,,,,,,,0.81,3.14,,3.76,3.79,2.94,3.64,0.9,1.91,4.14,2.34,1.81,0.53,6.16,1.86,2.66,1.69,4.1,5.53,,
September,,,,,,,,,,3.54,0.85,,0.98,2.43,1.62,1.66,1.32,0.46,1.88,3.51,0.15,1.01,2.57,2.11,1.25,3.75,2.53,1.01,,
October,,,,,,,,,,2.13,2.05,,2.35,10.35,2.5,2.03,5.82,7.82,1.36,8.47,4.36,4.06,3.74,4.07,1.97,3.86,6.24,4.24,,
November,,,,,,,,,,5.06,3.52,,1.86,1.82,1.08,4.19,4.09,2.73,1.28,1.06,3.59,3.03,1.94,3.58,3.61,3.01,5.03,0.54,,
December,,,,,,,,,,1.71,4.51,,1.45,3.34,4.6,0.82,1.7,4.58,3.48,4.45,5.7,9.25,4.59,1.89,9.83,7.18,3.76,0.64,,
Total,,,,,,,,,,27.45,34.32,,25.13,42.63,30.17,25.88,31.1,29.65,27.5,37.32,33.55,28.75,37.06,31.86,35.38,41.27,35.61,28.05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fryern Brownhill Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901 No data Observer ill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904 Aug 16 Gauge moved 80ft S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
