"STANHOPE CASTLE, WOLSINGHAM",,,,,,,,,,,,,,,,,,,,
Grid ref,NY995391,Long,-2.0079,Lat,54.7471,Elevation,670,ft,,,,,,,,,,,,
Station no,RR2308,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,6.67,1.6,,4.86,4.85,4.4,4.75,4.59,2.6,4.2,,,,,,,
February,,,,1.17,2.7,,4.82,2.6,4.66,5,1.41,1.51,6,,,,,,,
March,,,,2.73,4.74,,2.43,4.6,3.38,2.65,2.5,1.05,4.25,,,,,,,
April,,,,2.51,0.91,,4.25,3.68,2,3.5,1.5,3.05,3.25,,,,,,,
May,,,,2.03,1,,1.46,2.9,1,4,0.1,1.5,2.55,,,,,,,
June,,,,3.03,2.01,,2.82,0.65,0,1,1.17,3,3.05,,,,,,,
July,,,,1.06,0.88,,3.25,2.34,0.47,0.4,0.6,3.77,4.85,,,,,,,
August,,,,2.84,1.5,,4.06,1.85,4.75,0.3,3.01,1.05,1.3,,,,,,,
September,,,,4.54,2.9,,5.38,2.18,5.27,8.51,1.09,6.4,5.22,,,,,,,
October,,,,4.5,6.2,,1.38,1.38,2.7,3.4,8.08,3.39,6.3,,,,,,,
November,,,,3.93,4.05,,2.85,1,2.5,3.4,2.7,2,8.13,,,,,,,
December,,,,2.81,4.3,,3.58,3.3,8.55,7.25,4.77,3.5,7.5,,,,,,,
Total,,,,37.82,32.79,,41.14,31.33,39.68,44.16,31.52,32.82,56.6,,,,,,,
