"GLOSSOP W.W. (SWINESHAW)",,,,,,,,,,,,
Grid ref,SK044958,Long,-1.935201,Lat,53.458933,,,,,,,
Station no,2644,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.85,4.81,2.14,4.74,2.81,5.26,2.73,4.37,3.73,6.51,,
February,4.42,1.73,3.28,3.55,2.58,1.47,3.00,6.00,0.48,2.91,,
March,5.76,2.77,3.07,2.92,2.85,1.45,3.15,2.27,2.23,1.24,,
April,3.18,4.10,3.12,0.97,2.13,2.87,0.52,1.25,3.67,2.40,,
May,2.35,2.17,2.59,3.72,4.47,1.29,1.27,3.59,1.10,2.01,,
June,1.53,3.37,3.35,3.16,2.67,3.86,1.57,4.72,2.61,1.77,,
July,4.02,3.84,6.71,6.91,1.16,6.08,4.35,5.15,3.92,6.51,,
August,5.29,2.87,4.77,5.64,1.50,11.13,6.89,4.14,0.39,5.02,,
September,2.56,4.83,2.71,5.12,2.54,3.56,8.46,5.05,0.21,3.99,,
October,1.21,5.49,2.30,7.27,3.11,3.26,4.58,4.78,3.53,5.45,,
November,8.86,3.52,3.77,6.80,1.90,1.91,2.92,1.53,5.77,5.47,,
December,6.14,3.69,2.02,6.60,4.90,5.41,5.07,3.81,6.66,4.43,,
Total,51.17,43.19,39.83,57.40,32.62,47.55,44.51,46.66,34.30,47.71,,
Calc annual,51.17,43.19,39.83,57.40,32.62,47.55,44.51,46.66,34.30,47.71,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
