"BLACKBRIDGE",,,,,,,,,,,,
Grid ref,NH374710,Long,-4.730037,Lat,57.699318,,,,,,,
Station no,5775/2/6/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.95,3.94,3.93,,
February,,,,,,,,4.05,2.19,3.62,,
March,,,,,,,,1.76,2.57,0.77,,
April,,,,,,,,2.88,4.40,3.94,,
May,,,,,,,,5.01,1.52,1.33,,
June,,,,,,,,2.72,3.18,3.09,,
July,,,,,,,,1.62,4.49,2.42,,
August,,,,,,,,3.66,2.53,6.24,,
September,,,,,,,,3.16,1.16,2.49,,
October,,,,,,,,5.60,5.84,2.81,,
November,,,,,,,3.18,1.51,6.38,3.09,,
December,,,,,,,9.54,5.48,4.59,6.40,,
Total,,,,,,,,41.40,42.79,40.13,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,12.72,41.40,42.79,40.13,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
