PAIGNTON-HOLLICOMBE-(ROSENVILLE),,,,,,,,
Grid ref,SX889612,Long,-3.56591,Lat,50.44072,Elevation,28,ft
Station no,RR7910,,,,,,,
,,,,,,,,
,1885,1886,1887,1888,1889,,,
January,,6.04,4.04,1.05,,,,
February,,1.61,0.72,0.44,,,,
March,,4.19,2.04,5.25,,,,
April,,2.91,1.32,1.81,,,,
May,,4.04,1.86,3,,,,
June,,0.95,0.1,2.43,,,,
July,,2.87,1.18,5.07,,,,
August,2.29,1.75,2.24,2.05,,,,
September,3.35,2.21,2.85,1.05,,,,
October,6.09,5.59,3.25,1.65,,,,
November,4.54,3.32,4.28,9.42,,,,
December,2.13,7.67,3.64,3.57,,,,
Total,,43.15,27.52,36.79,,,,
,,,,,,,,
Rosenville Lower Polsham Road,,,,,,,,
1885 Aug Gauge moved 0.75 miles SW from Hollicombe ,,,,,,,,
