PAIGNTON-HOLLICOMBE-(NEW-GAUGE),,,,,,,,,,,,,,,,
Grid ref,SX896622,Long,-3.55514,Lat,50.44949,Elevation,70,ft,,,,,,,,
Station no,RR7910,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885
January,,,,,,,1.22,6.59,1.81,5.58,1.06,1.61,1.7,4.42,4.72,2.83
February,,,,,,,3.82,1.89,2.14,4.97,4.41,4.21,2.26,5.55,4.36,4.42
March,,,,,,,3.74,2.9,1.56,0.51,2.18,3.64,1.19,1.5,3.24,1.02
April,,,,,,,2.85,4.84,4.73,3.72,1.96,0.86,5.98,0.73,1.98,3.05
May,,,,,,,0.54,2.45,4.31,2.61,1.15,0.78,1.84,2.49,1.69,3.2
June,,,,,,,1.61,1.23,2.6,7.15,2.41,3.57,3.82,3.1,1.75,1.1
July,,,,,,,0.72,2.52,1.96,3.24,2.2,1.59,3.5,3.89,3.14,0.29
August,,,,,,,3.43,3.9,4.94,5.19,0.28,4.82,1.99,0.95,0.78,
September,,,,,,,5.08,2.12,1.83,3.45,3.26,1.69,4.44,4.92,1.43,
October,,,,,,,3.69,2.24,3.23,0.96,6.14,3.31,8.07,2.96,1.11,
November,,,,,,,4.68,7.1,3.26,0.26,3.41,6.11,3.79,4.51,1.63,
December,,,,,,,9.16,1.87,3,1.49,4.89,3.62,4.22,0.81,4.26,
Total,,,,,,,40.54,39.65,35.37,39.13,33.35,35.81,42.8,35.83,30.09,
,,,,,,,,,,,,,,,,
No note but due to overlap assume this is a new gauge,,,,,,,,,,,,,,,,
1885 Aug Gauge moved 0.75 miles SW to Rosenville,,,,,,,,,,,,,,,,
