PAIGNTON-HOLLICOMBE,,,,,,,,,,
Grid ref,SX896622,Long,-3.55514,Lat,50.44949,Elevation,70,ft,,
Station no,RR7910,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,6.42,3.95,5.59,1.16,6.66,,
February,,,,2.26,4.22,1.78,4.16,1.74,,
March,,,,4.05,0.67,1.15,3.85,2.82,,
April,,,,0.57,2.65,1.48,3.04,4.36,,
May,,,,1.18,1.22,2.17,0.54,2.51,,
June,,,,0.82,2.12,3.21,1.64,,,
July,,,,1.79,1.08,3.76,0.72,,,
August,,,,3.87,2.13,1.88,3.43,,,
September,,,,1.89,6.2,4.67,5.05,,,
October,,,,2.46,4.26,6.68,3.65,,,
November,,,,3.47,2.67,4.28,4.47,,,
December,,,,0.66,3.98,1.33,9.97,,,
Total,,,,29.44,35.15,37.98,41.68,,,
