DUNFORD-BRIDGE-REAPS-SLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE130037,Long,-1.805356,Lat,53.529801,Elevation,1490,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3165/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,8.35,8.75,4.05,5.3,8.2,8.3,11.8,8.9,9.05,6.05,15.4,5.6,4.85,9.35,9.4,3.7,5.6,4.6,8.9,5.8,6.2,7.55,10.2
February,,,,,,,,3.7,7.7,3.9,7.8,2.85,5.7,3.65,8.65,10.3,4,6.2,4.45,12.45,6.75,3.5,4.25,5.9,-999,3.9,5.35,9.6,0.65,4.7
March,,,,,,,,2.45,4.15,5.4,7.05,4.1,3.1,1.35,2.15,3.1,8.45,3,2.55,3.4,7.65,3.55,4.25,5.1,-999,2.9,4.95,3.45,2.85,2.7
April,,,,,,,,0.85,3.5,4.5,3.7,2.7,4.05,4.15,3.9,2.45,5.85,2.95,6.25,5.95,4.25,3.95,4.55,1.45,2.55,3.25,0.45,1.7,6.25,3.95
May,,,,,,,,4.75,2.2,0.9,4.1,4.2,3.75,4.25,4.65,2.6,4.05,2.05,2.75,2.95,4,2.65,2.95,5.65,5.95,2,1.8,4.8,2.1,2.6
June,,,,,,,,5.65,3.45,0.8,1.9,1.1,4.6,4.15,5.15,4.1,3.6,6.25,1,2.5,1.15,3.8,5,3.1,4.5,3.8,2.1,6,1.95,2.5
July,,,,,,,,5.25,9.65,5.45,1.9,6.1,3.3,3.8,2.1,6.25,2.95,2.4,3.2,3.5,3.95,2.8,8.85,7.5,1.45,9.7,5.85,6.15,5.05,8.5
August,,,,,,,,5.1,2.25,2.9,7.7,6.95,7.9,6.25,3.85,6.15,0.05,5.8,4,4.85,7.5,4.85,6.15,8.05,0.95,13.2,8.05,4.85,1.05,5.75
September,,,,,,,,3,2.45,6.45,0.75,4.2,5.8,7.1,3.7,9.8,3,3.15,1.95,9.55,3.45,6.6,4.2,8.2,3.1,4.85,8.6,5.9,0.35,4.35
October,,,,,,,,15.35,4.05,6.4,7.35,9.5,3.4,7,9.45,2.35,1.45,4,5.3,4.05,1.35,7.55,3.05,11.65,4.35,3.95,8.75,5.95,6.3,8.5
November,,,,,,,,7.25,11.25,11.05,4.65,1.95,5.5,11.3,1.1,11.45,10.4,3.4,10.1,9.05,12.85,4.3,6.6,9.05,2.85,3.25,3.7,1.85,7.1,8.4
December,,,,,,,,6.15,6.05,6.9,4.5,5.8,3.45,7.2,4.35,5.25,7.65,5.75,14,4.3,12.5,5.9,3.35,12.85,9.4,7.6,8.15,6.35,11.55,8.5
Total,,,,,,,,67.85,65.45,58.7,56.7,57.65,58.85,72,57.95,72.85,57.5,60.35,61.15,67.4,74.75,58.85,56.9,84.1,47.55,67.3,63.55,62.8,52.75,70.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Reaps Slack.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stated altitude is 70 fto too high or the gauge is 150m S to match altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan/Feb 1940 and 1941 and Feb/Mar 1947 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
