"TUNBRIDGE PENSHURST PARK",,,,,,,,,,,,
Grid ref,TQ525444,Long,0.180355,Lat,51.178502,,,,,,,
Station no,RR2866,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.44,1.18,1.34,2.15,4.27,1.35,4.64,1.68,2.51,1.21,,
February,6.12,1.64,1.26,1.66,4.17,0.98,2.74,1.50,1.36,0.61,,
March,1.18,2.69,2.13,3.09,1.65,3.70,1.93,1.08,2.26,4.12,,
April,0.91,2.27,0.77,1.93,1.24,2.29,0.89,2.43,2.68,1.73,,
May,1.25,0.61,2.99,2.09,2.11,1.57,1.34,1.94,1.87,1.62,,
June,2.97,0.92,2.85,5.23,2.02,3.70,2.13,2.10,1.62,2.56,,
July,1.58,2.09,2.80,5.11,1.33,0.82,0.94,1.47,3.67,2.37,,
August,2.54,1.68,3.02,3.58,0.95,2.36,0.84,2.56,4.72,2.13,,
September,1.10,1.41,1.56,2.74,2.12,2.25,1.40,0.55,1.73,2.73,,
October,2.17,2.84,2.54,5.99,2.14,1.57,5.30,4.43,1.87,5.24,,
November,3.47,0.73,1.96,2.65,1.56,4.80,5.60,2.54,1.05,0.90,,
December,3.58,4.29,2.08,2.42,3.08,0.87,2.36,2.69,2.66,3.35,,
Total,30.31,22.35,25.30,38.64,26.64,26.26,30.11,24.97,28.00,28.57,,
Calc annual,30.31,22.35,25.30,38.64,26.64,26.26,30.11,24.97,28.00,28.57,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
