"TUNBRIDGE PENSHURST PARK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR2866,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,3.39,2.77,0.26,2.09,4.24,2.35,0.99,2.47,0.63,3.85,,
February,1.25,0.20,1.67,3.76,2.19,1.39,0.29,2.70,1.55,2.85,,
March,2.42,2.60,1.86,0.56,1.42,1.88,3.34,4.46,1.97,1.15,,
April,2.59,0.45,2.61,0.07,1.92,2.16,0.78,1.87,0.98,2.83,,
May,1.85,3.12,1.09,0.62,1.51,0.10,0.34,1.55,3.32,1.58,,
June,2.36,1.69,3.12,0.89,2.66,0.34,4.92,2.06,1.58,0.68,,
July,4.40,3.79,2.06,3.62,4.42,3.37,0.97,0.37,0.61,1.90,,
August,2.93,3.66,3.47,0.69,1.93,2.03,1.95,2.99,1.20,1.58,,
September,1.11,1.80,1.77,2.46,2.98,0.28,6.32,2.50,0.44,2.84,,
October,1.11,8.25,5.30,3.75,4.26,2.64,4.08,0.40,4.82,2.63,,
November,4.04,2.74,3.00,2.16,5.12,7.05,1.54,1.25,3.86,5.04,,
December,0.70,4.18,1.86,2.84,1.98,3.61,3.99,4.06,2.34,1.63,,
Total,28.15,35.25,28.07,23.51,34.63,27.20,29.51,26.68,23.30,28.56,,
Calc annual,28.15,35.25,28.07,23.51,34.63,27.20,29.51,26.68,23.30,28.56,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
