TUNBRIDGE-PENSHURST-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ526454,Long,0.1823,Lat,51.1881,Elevation,265,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,0.87,3.39,2.77,0.26,2.09,4.24,2.35,0.99,2.47,0.63,3.85,3.44,1.18,1.34,2.15,4.27,1.35,4.64,1.68,2.51,1.21,2.31,1.21,2.32,4.6,0.65,3.1,0.93,1.06,3.25,3.76,3.42,2.58,3.73,1.5,2.42,2.76,3.35,2.47,3.85,0.84,3.7,1.96,3.16,1.75,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.39,1.25,0.2,1.67,3.76,2.19,1.39,0.29,2.7,1.55,2.85,6.12,1.64,1.26,1.66,4.17,0.98,2.74,1.5,1.36,0.61,3.71,1.29,1.89,0.85,4.33,3.93,4.65,0.64,1.07,1.87,0.38,0.81,2.05,4.06,0.92,4.38,2.47,4.53,1.87,0.6,0.97,2.1,0.62,2.41,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,2.35,2.42,2.6,1.86,0.56,1.42,1.88,3.34,4.46,1.97,1.15,1.18,2.69,2.13,3.09,1.65,3.7,1.93,1.08,2.26,4.12,1.18,2.11,4.29,2.85,5.1,0.46,3.73,1.65,0.88,3.3,1.35,1.95,2.21,2.1,1.74,0.91,0.48,3.98,1.81,0,0.93,0.44,1.64,3.78,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.68,2.59,0.45,2.61,0.07,1.92,2.16,0.78,1.87,0.98,2.83,0.91,2.27,0.77,1.93,1.24,2.29,0.89,2.43,2.68,1.73,1.59,2.33,0.09,2.62,1.49,1.28,1.43,2.08,3.01,2.55,2.81,1.18,3.01,2.48,2.87,2.36,3.9,1.61,1.76,0.72,1.22,3.95,2.47,0.62,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,2.15,1.85,3.12,1.09,0.62,1.51,0.1,0.34,1.55,3.32,1.58,1.25,0.61,2.99,2.09,2.11,1.57,1.34,1.94,1.87,1.62,2.29,0.95,1.16,1.35,0.99,4.03,2.31,2.3,1.69,0.21,0.9,1.31,1.49,2.51,3.58,2.72,1.13,0.89,1.25,2.08,2.32,2.24,2.81,2.71,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.08,2.36,1.69,3.12,0.89,2.66,0.34,4.92,2.06,1.58,0.68,2.97,0.92,2.85,5.23,2.02,3.7,2.13,2.1,1.62,2.56,1.39,2.08,2.66,0.34,0.7,0.52,1.99,2.36,0.63,0.98,1.76,0.05,1.35,0.49,2.56,0.2,3.45,3.62,2.26,1.16,0.75,1.34,0.93,2,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.29,4.4,3.79,2.06,3.62,4.42,3.37,0.97,0.37,0.61,1.9,1.58,2.09,2.8,5.11,1.33,0.82,0.94,1.47,3.67,2.37,1.85,0.3,1.23,2.46,1.34,2.81,1.19,3.35,5.05,2.14,4.23,0.54,2.96,1.82,3.27,3.86,1.36,3.1,1.63,1.27,1.99,2.16,2.29,1.47,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,2.57,2.93,3.66,3.47,0.69,1.93,2.03,1.95,2.99,1.2,1.58,2.54,1.68,3.02,3.58,0.95,2.36,0.84,2.56,4.72,2.13,2.07,0.8,5.56,1.33,1.14,1.66,2.66,5.12,0.91,2.51,1.33,2.21,2.92,1.4,2.95,1.78,1.11,5.12,2.96,2.6,3.03,4.19,0.66,0.85,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,1.15,1.11,1.8,1.77,2.46,2.98,0.28,6.32,2.5,0.44,2.84,1.1,1.41,1.56,2.74,2.12,2.25,1.4,0.55,1.73,2.73,0.5,1.49,2.93,1.33,0.9,2.41,1.19,1.44,4.78,1.16,3.85,0.73,2.35,2,3.59,2.05,0.95,3.82,0.45,0.36,3.11,2.44,1.96,3.3,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,5.98,1.11,8.25,5.3,3.75,4.26,2.64,4.08,0.4,4.82,2.63,2.17,2.84,2.54,5.99,2.14,1.57,5.3,4.43,1.87,5.24,2.18,4.78,3.25,5.1,1.61,2.06,4.31,3.42,1.56,0.79,1.22,1.24,1.22,6.87,3.52,3.87,2.08,1.63,5.41,3.53,1.26,0.61,5.9,2.02,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
