LYDNEY,,,,,,,,,,,,
Grid ref,SO632025,Long,-2.534117,Lat,51.720009,,,,,,,
Station no,RR8198,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.78,1.18,,,
February,,,,,,,,1.49,1.08,,,
March,,,,,,,,0.84,2.85,,,
April,,,,,,,,2.63,2.34,,,
May,,,,,,,,2.13,1.56,,,
June,,,,,,,,2.49,0.88,,,
July,,,,,,,,2.21,2.00,,,
August,,,,,,,,2.20,3.24,,,
September,,,,,,,,0.67,3.80,,,
October,,,,,,,,5.84,2.48,,,
November,,,,,,,,2.86,1.30,,,
December,,,,,,,,6.01,2.76,,,
Total,,,,,,,,31.15,25.47,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.15,25.47,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,,
