RUSKINGTON,,,,,,,,,,,,,,,,,
Grid ref,TF083506,Long,-0.386,Lat,53.042,Elevation,30,ft,,,,,,,,,
Station no,2543/3/5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.61,1.26,1.75,3.23,1.00,0.55,3.01,1.29,0.63,0.71,2.00,3.65,1.46,1.67,2.11,3.72
February,,1.45,1.92,1.79,0.75,0.53,3.48,2.64,0.25,1.50,2.35,2.27,0.65,2.57,2.85,0.26,1.74
March,,0.57,0.95,4.30,0.25,0.85,0.44,2.79,2.68,0.67,1.28,1.91,0.65,1.58,1.69,1.98,1.16
April,1.97,0.92,1.20,1.37,1.46,1.67,1.70,1.79,0.73,1.89,0.30,0.70,1.27,0.18,0.40,1.53,0.40
May,2.03,1.60,1.73,0.52,2.05,1.63,2.38,3.08,1.66,2.25,2.47,2.15,0.40,1.20,1.65,0.51,0.87
June,1.29,2.39,3.36,2.24,3.82,0.64,1.49,0.94,2.57,2.25,2.24,2.95,3.18,1.70,4.25,0.55,0.59
July,0.98,1.97,2.62,2.81,1.00,2.61,2.33,0.73,0.31,1.58,1.39,2.30,2.75,2.93,5.30,1.96,2.89
August,3.32,2.09,3.34,0.10,2.39,1.17,1.16,3.93,2.20,1.52,2.79,0.84,3.74,1.76,3.30,1.52,3.20
September,2.86,1.41,3.47,0.76,2.21,0.99,2.90,0.96,2.26,0.74,1.74,0.95,1.49,3.56,0.93,0.06,2.83
October,2.24,2.68,1.81,0.24,1.62,3.33,0.61,1.31,1.86,1.85,2.15,1.12,0.98,0.97,1.34,1.04,5.26
November,3.11,0.39,3.46,0.64,0.82,2.31,3.61,4.21,1.89,1.32,3.09,1.08,0.54,1.45,0.79,1.80,2.80
December,1.14,1.76,2.13,1.74,2.71,1.14,0.83,1.22,1.19,0.65,1.93,1.70,1.20,1.33,2.75,2.36,3.29
Total,,18.84,27.25,18.26,22.31,17.87,21.48,26.61,18.89,16.85,22.44,19.97,20.50,20.69,26.92,15.68,28.75
,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/203,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/203,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# The station continued until 1964 according to MIDAS. (MIDAS src_id = 3885),,,,,,,,,,,,,,,,,
