RONA LIGHTHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NG634614,Long,-5.959474,Lat,57.580471,Elevation,212,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,4.03,2.03,0.8,1.8,1,9.3,3.3,4,7.8,2.13,4.92,2.1,0.85,6.76,12.17,5.93,5.4,3.8,5.7,4,3.4,1.1,4.8,2,7.8,3.7,7.7,2.3,3.15,6.49,4.46,3.15,7.03,5.89,4,5.04,6.9,5.19,-999,0.91,6.81,2.79,4.65,3.4,3.75,4.22,2.11,2.49,4.11,3.22,2.29,2.46,2.55,2.28,2.88,1.93,2.73,4.34,4.76,1.8,0.97,2.05,4.5,5.06,2.18,2.86,2.19,2.81,3.44,5.54,5.27,1.4,7.36,,4.28,,,,,,,,
February,,1.07,1,0.3,1.1,1.1,5.8,3.8,3.6,3.4,2.49,8.2,5.27,2.96,4.41,5.23,0.84,2,1.2,5.6,6,1.2,1.7,8.2,2.4,4.5,4.3,5.3,5.22,2.85,3.89,1.65,5.61,0.45,4.15,1.24,4.31,8.67,0.43,-999,2.59,6.29,1.7,0.97,1.74,0.5,4.35,2.37,3.02,3.38,3.69,2.01,0.9,3.48,3.48,2.79,2.12,4.97,2.21,2.78,0.57,3.3,0.8,3.98,1.27,2.67,1.33,0.86,1.83,2.17,1.64,3.07,0.85,0.34,,0.38,,,,,,,,
March,,4.02,1.04,0.9,4.5,0.2,2,3.7,2.4,3.1,0.98,3.74,1.21,1.15,3.42,2.87,0.95,4.7,2.8,5.5,2.4,2.2,3.4,2,4.2,8.9,3.6,1.9,2.91,1.87,0.51,1.58,3.84,4.64,3.73,0.4,3.77,5.46,4.28,-999,4.03,6.07,2.74,0.97,1.9,4.7,3.77,1,4.32,2.71,2.83,2.06,0.99,2.35,2.11,4.04,3.15,2.78,2.81,1.73,1.4,1.28,1.71,3.32,3.52,1.15,0.79,0.59,1.57,2.3,3.28,3.14,0.83,1.45,,2.12,,,,,,,,
April,,0.1,0.06,0.5,0,1.2,3.3,2.5,2.5,0.57,3.89,1.57,1.69,4.35,1.99,3.27,0.1,3.5,1.7,3.1,0.7,0.8,1.6,5,2.1,4.3,1.5,0.7,2.12,1.29,1.07,0.95,0.73,1.45,0.5,0.89,1.75,0.93,3.4,-999,1.43,2.4,3.83,3.74,2.85,1.15,1.57,4.44,2.4,1.7,1.83,0.63,1.86,3.43,4.74,3.13,2.47,3.53,2.8,2.06,1.63,0.58,4.14,1.5,1.03,2.58,2.24,1.91,1.48,1.91,4.34,2.21,2.84,1.47,,2.32,,,,,,,,
May,,0,0.1,1.4,0.7,5.1,5,2.5,2.4,0.8,2.41,2.23,0.79,3.43,0.85,4.68,0.5,2.3,4.6,1.7,1.9,2.3,2.4,1.5,2.9,3.6,4,3.7,1.21,0.9,0.64,2.16,1.92,0.21,1.45,2.6,3.86,3.17,1.22,-999,2.29,2.16,1.9,1.5,0.95,1.69,1.59,3.53,1.81,2.31,1.29,2,1.47,2.1,1.82,2.58,1.21,1.52,0.99,2.27,2.02,2.34,0.64,1.64,2.65,4.78,3.2,1.46,3.22,3.16,1.66,0.9,2.29,1.32,,1.71,,,,,,,,
June,,2.01,0.04,0.6,1.3,6,4.1,4.5,1.1,0.72,2.82,3.53,1.86,0.22,0.61,4.87,3.4,0.16,3.9,2.8,8.8,1.7,1.3,1.7,6.6,4,0.3,3.3,2.75,0.73,0.92,1.35,0.11,0.94,2.78,1.68,1.13,2.76,3.15,1.52,0.85,3.25,2.28,1.72,2.87,1,1.28,2.69,1.47,0.49,3.37,1.82,0.87,1.7,2.56,2.91,2.31,1.3,0.71,3.02,1.89,1.37,3.95,1.24,1.1,1.97,1.14,2.09,1.55,1.42,2.5,2.75,2.42,2.3,,1.06,,,,,,,,
July,,2.03,0.07,0.1,1.7,5.4,1.9,3.1,4.1,2.22,1.51,1.2,1.54,1.98,5.23,3.83,2.1,0.36,2.9,3.4,4.1,2,5.1,1.3,5.3,6.3,2.2,2.7,1.55,1.43,3.1,5.9,0.11,3.03,2.9,1.74,4.42,5.37,4.15,3.15,2.91,2.03,2.58,2.9,3.05,3,4.41,1.52,2.45,4.04,2.49,1.42,2.03,2.4,5.45,2.51,1.55,2.14,2.65,3,1.02,4.88,1.7,1.89,3.21,1.8,2.81,3.25,1.99,1.45,4.05,3.49,2.47,1.24,,2.53,,,,,,,,
August,,1.07,1.02,1.2,1.7,4.7,7.2,3.6,7,3.68,2.98,6.12,1.31,1.2,2.65,1.95,3.4,3.8,6.8,2.7,3.8,2.3,5.4,1.4,5.8,4.2,5.3,4.4,0.75,1.24,3.26,4.5,3.7,4.59,5.96,2.76,4.8,4.77,6.89,3.46,2.94,3.57,1.16,2.46,3.88,3.17,6.25,5,2.84,2.64,2.91,1.89,2.38,4.1,3.21,2.87,0.93,3.62,2.13,1.74,2.68,5.47,2.94,3.27,2.16,2.28,3.43,3.92,2.45,2.87,2.98,2.15,4.63,4.77,,1.92,,,,,,,,
September,,1,1.09,1.1,3.9,4.6,7.5,7,3.8,4.4,3,1.5,5.42,3.26,2.12,-999,2.5,7.7,3.1,3,4.6,5.4,5,4.8,3.5,7.4,2.12,3.3,6.88,2.6,2.5,1.75,1.8,4.68,6.57,6.31,9.35,0.95,4.37,5.16,4.62,4.51,5.77,4.3,1.75,4.33,3.06,3.3,3.93,1.82,1.03,4.57,1.86,1.4,4.7,1.39,1.97,3.2,3.29,1.55,3.8,5.91,2.76,2.98,2.59,1.59,2.97,3.09,2.58,3.77,4.6,2.47,3.83,2.31,,3.31,,,,,,,,
October,,1.09,2.08,3,1,11.3,4.6,2.4,5,2.7,4.91,3.1,4.4,6.41,8.82,-999,5.5,5.7,3.6,6.3,13.7,4.7,2.3,3.2,2.2,5.8,8.7,8.5,2.4,3.38,2.85,6.04,0.95,13.95,7.47,7.24,7.72,2.02,-999,6.28,2.74,1.6,3.65,4.62,6.42,3.02,6.63,2.48,3.94,2.75,1.2,0.83,3.89,2.35,2.04,4.82,2.25,2.19,1.13,4.21,7.23,2.97,2.39,1.64,3.22,1.66,5.56,3.73,3.06,3.8,4.57,4.91,4.45,4.93,,4.43,,,,,,,,
