DORCHESTER-SOUTH-COURT-AVENUE,,,,,,,,,,,,,,,,,,,,
Grid ref,SY692897,Long,-2.437539,Lat,50.706115,Elevation,240,ft,,,,,,,,,,,,
Station no,1575/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.39,7.86,1.27,0.91,4.79,3.03,0.97,2.46,4.73,5.54,4.74,4.03,6.4,4.69
February,,,,,,,1.58,1.6,1.91,7.07,6.3,1.05,2.68,4.24,3.02,0.22,4.79,3.56,0.45,3.95
March,,,,,,,10.51,1.53,1.72,2.4,5.44,4.16,0.8,5.21,1.85,0.85,3.47,1.82,4.39,3.24
April,,,,,,,2.86,1.85,2.12,2.98,2.75,2.27,2.97,0.13,0.97,1.89,0.28,0.65,2.98,3.11
May,,,,,,,2.19,3.04,3.14,1.41,2.92,3.3,3.46,2.39,5.64,1.1,3.35,2.87,1.82,1.99
June,,,,,,,2.48,2.9,0.71,1.16,0.6,1.07,3.08,3.65,3.35,3.05,3.16,3.13,1.24,2.65
July,,,,,,,1.8,1.73,1.32,6.06,2.4,0.89,3.79,3.44,7.25,3.59,5.03,2.94,1.33,4.43
August,,,,,,,1.14,4.64,1.29,4.1,6.89,3.68,2.62,4.21,0.67,4.83,3.88,3.02,2.35,6.25
September,,,,,,,1.79,3.44,5.36,5.44,5,4.3,3.83,4.71,2.01,6.59,4.97,6.14,0.13,5.5
October,,,,,,,1.09,3.45,7.8,1.54,1.17,5.65,4.35,3.87,3.6,1.96,3.22,3.54,4.81,10.76
November,,,,,,7.57,2.94,3.02,5.22,7.94,10.79,4.33,2.36,8.15,3.75,1.06,2.6,3.53,4.76,6.84
December,,,,,,5.72,4.29,6.27,2.53,4.02,3.66,3.87,1.31,3.64,6.66,6.7,2.86,5.7,10.31,4.64
Total,,,,,,,37.06,41.33,34.39,45.03,52.71,37.6,32.22,46.1,43.5,37.38,42.35,40.93,40.97,58.05
,,,,,,,,,,,,,,,,,,,,
Observer formerly at Langton Herring Higher Farm Stn No 1562 6.5 miles SW,,,,,,,,,,,,,,,,,,,,
Exact house unknown NGR taken from sheet,,,,,,,,,,,,,,,,,,,,
1960 Apr 28 Inspection House 30-50ft N Otherwise satisfactory,,,,,,,,,,,,,,,,,,,,
1960 Dec Station terminated Observer moved ,,,,,,,,,,,,,,,,,,,,
