DORCHESTER (SOUTH COURT AVENUE),,,,,,,,,,,,
Grid ref,SY692897,Long,-2.437539,Lat,50.706115,,,,,,,
Station no,1575/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.79,3.03,0.97,2.46,4.73,5.54,4.74,4.03,6.40,4.69,,
February,6.30,1.05,2.68,4.24,3.02,0.22,4.79,3.56,0.45,3.95,,
March,5.44,4.16,0.80,5.21,1.85,0.85,3.47,1.82,4.39,3.24,,
April,2.75,2.27,2.97,0.13,0.97,1.89,0.28,0.65,2.98,3.11,,
May,2.92,3.30,3.46,2.39,5.64,1.10,3.35,2.87,1.82,1.99,,
June,0.60,1.07,3.08,3.65,3.35,3.05,3.16,3.13,1.24,2.65,,
July,2.40,0.89,3.79,3.44,7.25,3.59,5.03,2.94,1.33,4.43,,
August,6.89,3.68,2.62,4.21,0.67,4.83,3.88,3.02,2.35,6.25,,
September,5.00,4.30,3.83,4.71,2.01,6.59,4.97,6.14,0.13,5.50,,
October,1.17,5.65,4.35,3.87,3.60,1.96,3.22,3.54,4.81,10.76,,
November,10.79,4.33,2.36,8.15,3.75,1.06,2.60,3.53,-999.00,6.84,,
December,3.66,3.87,1.31,3.64,6.66,6.70,2.86,5.70,10.31,4.64,,
Total,52.71,37.60,32.22,46.10,43.50,37.38,42.35,40.93,40.97,58.05,,
Calc annual,52.71,37.60,32.22,46.10,43.50,37.38,42.35,40.93,36.21,58.05,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,,
