"CARLISLE (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,NY388565,Long,-2.955851,Lat,54.899461,,,,,,,
Station no,3621/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.22,2.77,1.13,2.59,2.42,2.61,3.02,2.26,1.91,4.01,,
February,2.51,0.92,1.02,1.81,0.85,0.78,1.65,3.15,0.98,1.47,,
March,2.89,1.36,0.52,1.61,0.90,1.02,2.32,1.16,1.13,0.92,,
April,1.63,2.00,2.46,0.88,1.22,1.06,0.75,1.30,2.03,1.99,,
May,1.55,1.57,1.44,2.07,1.92,1.29,1.54,2.64,0.74,1.61,,
June,1.32,2.96,0.88,4.43,2.15,1.98,1.04,2.93,3.19,0.83,,
July,2.40,2.12,5.41,3.82,1.88,4.06,2.76,3.16,2.79,3.51,,
August,3.71,3.47,4.43,4.73,1.61,8.39,4.33,4.06,0.54,3.80,,
September,3.22,2.80,4.57,5.46,1.70,2.51,3.75,3.60,1.39,1.88,,
October,0.67,1.95,1.61,7.47,1.79,2.45,3.12,2.57,3.02,2.11,,
November,5.86,2.06,4.21,4.59,0.95,1.19,0.70,1.26,3.07,4.20,,
December,4.40,3.45,2.00,3.51,4.59,2.81,2.60,1.82,3.28,2.99,,
Total,33.38,27.43,29.68,42.97,21.98,30.15,27.58,29.91,24.07,29.32,,
Calc annual,33.38,27.43,29.68,42.97,21.98,30.15,27.58,29.91,24.07,29.32,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,,
