BRUCKLAY CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 91328 50261,Long,-2.146526,Lat,57.54239,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,5,1.45,3.33,3.73,5.43,1.44,2.12,3.62,3.04,2.37,1.55,4.13,2.25,3.33,2.54,2.38,3.51,1.76,1.96,,,,,,,
February,,,,,,2.07,2.29,1.41,1.4,1.84,1.53,0.61,2.32,8.04,2.28,5.67,3.14,1.72,1.01,1.82,1.68,3.23,0.88,3.31,,,,,,,
March,,,,,,4.35,2.11,2.99,1.16,2.79,5.31,2.57,2.23,1.66,2.63,2.22,1.96,1.97,2.63,0.44,1.64,0.76,3.49,1.98,,,,,,,
April,,,,,,2.77,3.68,2.52,0.72,3.24,3.49,1.99,4.14,3,1.38,2.36,2.83,3.27,2.71,1.86,2.94,1.51,4.67,2.21,,,,,,,
May,,,,,,1.16,3.55,1.78,1.35,1.03,4.17,2.75,1.35,8.39,5.35,4.13,2.52,3.05,2.09,1.6,1.3,2.73,1.82,0.62,,,,,,,
June,,,,,,0.69,4.98,1.73,2.81,3.79,0.95,2.12,2.25,2.21,1.32,1.51,2.37,4.08,3.56,2.59,2.41,2.48,0.75,1.65,,,,,,,
July,,,,,,5.03,2.19,2.69,8.7,1.96,2.93,2.91,4.19,2.82,3.9,2.78,3.16,1.19,2.75,2.64,2.21,3.34,3.23,3.67,,,,,,,
August,,,,,,0.92,1.41,4.47,3.25,2.97,2.12,2.27,2.4,5.02,5.48,1.49,2.29,2.85,2.91,3.13,6.73,3.24,1.37,0.87,,,,,,,
September,,,,,,2.3,2.42,2.07,8.34,7.11,4.11,1.12,3.27,3.79,4.88,4.35,5.35,8.03,3.18,1.72,6.22,2.17,4.12,1.5,,,,,,,
October,,,,,,6.58,6.06,6.19,2.47,5.26,2.86,1.51,2.64,4.65,2.81,3.81,7.24,5.14,2.86,4.75,4.77,2.01,8.52,5.37,,,,,,,
November,,,,,,4.7,3.26,4.84,1.95,4.98,1.31,2.64,2.83,6.12,3.17,3.54,3.69,5.23,4.39,3.42,4.9,3.72,2.07,3.64,,,,,,,
December,,,,,,7.51,4.73,2.05,2.86,5.85,3.08,2.58,2.64,4.44,2.51,3.41,1.9,2.42,4.78,6.17,3.23,2.08,1.53,2.19,,,,,,,
Total,,,,,,43.08,38.13,36.07,38.74,46.25,33.3,25.19,33.88,53.18,38.08,36.82,40.58,41.2,36.2,32.68,40.41,30.78,34.21,28.97,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
