BRUCKLEY CASTLE GARDENS (Check),,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 91328 50261,Long,-2.146526,Lat,57.54239,Elevation,300,ft,,,,,,,,,,,,,
Station no,5659,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,3.39,2.11,2.25,4.12,1.68,1.93,1.83,,,,,,
February,,,,,,,,,1.12,2.29,1.61,3.36,0.79,4.05,1.81,,,,,,
March,,,,,,,,,2.26,0.33,1.3,0.92,3.76,2.32,2.03,,,,,,
April,,,,,,,,,2.96,2.74,3.14,1.71,4.51,1.9,6.49,,,,,,
May,,,,,,,,,1.82,1.66,1.45,2.72,1.89,0.7,3.41,,,,,,
June,,,,,,,,,3.46,2.38,2.16,2.5,0.7,1.6,1.01,,,,,,
July,,,,,,,,,2.14,2.64,1.87,3.48,3.02,3.64,1.75,,,,,,
August,,,,,,,,,2.89,3.78,7.35,3.34,1.05,0.99,3.75,,,,,,
September,,,,,,,,,3.11,1.95,6.45,1.91,4.19,1.48,2.28,,,,,,
October,,,,,,,,,2.47,5.18,4.34,2.44,8.61,5.52,4.73,,,,,,
November,,,,,,,,,4.86,3.55,5.16,3.91,2.63,3.85,3.15,,,,,,
December,,,,,,,,,4.12,6.69,4.68,2.6,1.43,2.39,5.28,,,,,,
Total,,,,,,,,,34.6,35.3,41.76,33.01,34.26,30.37,37.52,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5659,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
