"GLEN FINGLAS",,,,,,,,,,,,
Grid ref,NN487124,Long,-4.445424,Lat,56.279870,,,,,,,
Station no,5521,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.20,4.90,4.95,7.90,5.00,5.30,12.05,10.60,3.50,5.10,,
February,4.35,3.30,4.15,6.95,3.00,3.65,7.15,3.40,4.20,8.50,,
March,5.10,8.30,2.95,5.90,2.60,4.75,8.80,3.70,7.00,3.50,,
April,5.40,4.00,4.80,3.40,4.30,1.85,2.95,3.90,5.90,8.20,,
May,2.20,2.70,5.00,6.50,5.00,6.05,3.20,5.25,2.40,4.50,,
June,4.10,5.45,3.30,3.75,4.50,5.40,2.50,4.10,4.50,3.40,,
July,5.20,4.50,7.50,4.80,0.85,7.10,5.05,6.50,8.50,5.80,,
August,8.10,7.35,5.10,7.75,1.40,7.80,6.90,7.60,4.20,5.60,,
September,6.25,4.30,10.00,10.30,6.75,8.65,5.30,7.60,1.90,5.00,,
October,2.60,8.00,7.70,13.70,7.00,6.45,7.80,6.90,9.30,5.20,,
November,13.75,3.75,13.30,14.00,4.40,3.65,3.35,2.60,10.30,9.50,,
December,11.40,7.65,9.20,16.65,14.95,12.35,9.08,10.80,15.40,10.20,,
Total,76.65,64.20,77.95,101.60,59.75,73.00,74.13,72.95,77.10,74.50,,
Calc annual,76.65,64.20,77.95,101.60,59.75,73.00,74.13,72.95,77.10,74.50,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
