"LECHLADE (ST JOHN'S LOCK)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2201,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.88,3.14,4.33,1.67,1.75,1.89,1.42,5.06,1.07,0.44,,
February,2.54,0.75,0.93,0.89,2.04,2.33,1.33,1.08,0.97,4.46,,
March,2.87,2.08,1.06,0.33,0.90,0.92,6.22,0.93,1.50,0.98,,
April,1.01,1.08,0.70,1.83,1.05,1.55,2.40,2.02,1.42,1.98,,
May,1.23,4.40,2.58,0.62,2.32,3.50,1.59,4.16,2.50,2.50,,
June,1.82,0.23,1.62,1.66,3.32,2.91,1.41,1.65,0.43,1.54,,
July,2.20,1.82,1.23,2.14,1.90,1.01,2.30,1.20,2.82,3.91,,
August,3.36,3.36,2.23,1.86,2.26,5.06,0.44,3.59,1.74,3.31,,
September,0.74,1.62,1.13,2.44,1.60,3.01,1.38,2.03,2.02,3.45,,
October,1.47,3.20,2.90,3.46,3.34,0.98,0.39,2.80,5.72,0.62,,
November,2.49,2.11,1.65,4.41,0.26,4.92,1.41,1.58,2.97,4.86,,
December,1.69,3.64,0.97,1.48,3.62,1.68,1.94,3.46,1.14,1.63,,
Total,24.30,27.43,21.33,22.79,24.36,29.76,22.23,29.56,24.30,29.68,,
Calc annual,24.30,27.43,21.33,22.79,24.36,29.76,22.23,29.56,24.30,29.68,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
