"WILMINGTON (KENT WATERWORKS)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,408,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.66,2.20,4.85,1.37,1.89,1.28,2.02,2.55,0.90,1.14,,
February,1.56,0.77,1.43,0.97,1.05,2.38,1.51,1.45,0.90,3.72,,
March,2.62,2.25,0.28,0.08,1.30,1.35,4.86,0.80,0.73,0.67,,
April,1.52,1.12,1.11,1.38,1.14,1.99,1.29,1.64,1.38,3.12,,
May,1.47,3.08,2.27,0.35,2.59,3.71,0.93,2.48,1.52,1.43,,
June,2.07,0.41,1.28,1.89,1.25,2.06,2.22,2.14,0.99,1.55,,
July,1.80,1.95,1.43,1.17,3.58,1.33,2.83,1.03,0.69,2.35,,
August,3.51,2.14,0.98,3.34,1.30,4.12,0.37,4.65,1.17,1.36,,
September,0.52,2.41,1.43,2.85,0.77,2.26,1.14,1.13,0.44,2.30,,
October,0.82,3.36,1.90,3.44,2.22,1.49,0.19,1.62,5.64,0.30,,
November,2.78,1.90,1.17,3.99,0.25,3.21,1.00,1.57,2.91,5.23,,
December,1.41,1.63,1.67,1.62,2.55,1.84,2.28,2.91,1.15,1.66,,
Total,22.74,23.22,19.80,22.45,19.89,27.02,20.64,23.97,18.42,24.83,,
Calc annual,22.74,23.22,19.80,22.45,19.89,27.02,20.64,23.97,18.42,24.83,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,-0.00,,
