"SHIFNAL (HATTON GRANGE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2295,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.83,3.24,3.90,2.10,2.00,2.19,1.79,4.34,1.54,0.51,,
February,2.50,0.66,1.25,2.45,1.37,1.88,1.78,1.38,0.53,4.19,,
March,2.00,1.64,0.67,0.62,1.02,0.74,5.02,0.98,2.04,0.82,,
April,1.23,0.69,0.95,1.27,0.93,1.02,1.72,1.96,1.83,2.05,,
May,2.71,3.13,2.14,0.81,3.96,2.20,2.78,1.60,1.77,1.57,,
June,1.60,1.30,1.66,1.22,2.88,2.19,0.79,2.75,0.43,0.82,,
July,2.17,1.49,1.69,2.69,2.82,1.66,4.52,1.67,1.89,2.57,,
August,3.73,1.67,1.95,3.08,3.78,5.16,0.79,4.80,1.41,2.97,,
September,0.51,1.38,2.45,2.62,1.28,3.68,0.94,2.23,0.85,3.57,,
October,2.27,1.91,1.64,2.83,3.62,0.54,0.52,2.65,3.74,1.00,,
November,2.66,0.74,2.26,3.74,0.35,4.41,1.95,1.33,2.92,4.03,,
December,1.03,3.09,1.10,1.63,2.68,2.58,2.18,4.31,1.17,2.43,,
Total,25.24,20.94,21.66,25.06,26.69,28.25,24.78,30.00,20.12,26.53,,
Calc annual,25.24,20.94,21.66,25.06,26.69,28.25,24.78,30.00,20.12,26.53,,
Difference,-0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
