"BRIGG (WRAWBY ROAD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2573,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.54,2.85,3.36,2.51,2.54,2.27,2.16,4.36,0.87,1.04,,
February,2.74,1.18,0.65,2.19,1.80,2.80,1.80,1.22,0.49,3.65,,
March,3.10,1.17,0.32,0.55,0.51,1.30,4.30,0.69,1.07,1.00,,
April,0.62,1.10,0.79,2.38,1.41,1.15,1.54,1.40,1.88,3.07,,
May,1.31,2.95,2.80,1.93,1.72,1.10,1.13,2.10,1.06,1.94,,
June,0.39,1.12,1.89,1.74,2.17,2.49,2.14,3.50,0.63,1.90,,
July,3.81,1.80,0.97,2.06,1.70,3.61,1.80,0.98,2.84,3.10,,
August,2.66,2.28,2.04,3.09,2.23,4.66,0.39,2.39,1.72,2.83,,
September,0.63,1.91,2.47,4.39,0.96,3.17,0.66,1.65,0.71,3.14,,
October,2.75,1.48,1.25,2.43,2.26,1.42,0.60,1.30,1.95,0.86,,
November,2.37,1.33,1.81,4.11,0.65,5.31,1.44,0.91,3.52,4.17,,
December,0.38,1.94,0.95,1.43,1.60,2.57,2.00,2.80,2.05,2.18,,
Total,23.30,21.11,19.30,28.81,19.55,31.85,19.96,23.30,18.79,28.88,,
Calc annual,23.30,21.11,19.30,28.81,19.55,31.85,19.96,23.30,18.79,28.88,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
