"WESSENDEN (BUTTERLEY MOSS)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3190,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,3.71,4.21,6.38,8.13,3.96,6.53,3.70,11.98,2.33,3.54,,
February,6.92,1.24,3.52,2.09,6.14,8.46,1.85,3.72,3.58,7.23,,
March,6.05,3.40,2.39,0.48,1.68,1.84,10.34,2.41,1.98,2.79,,
April,3.84,2.85,2.84,3.40,3.02,2.03,4.80,3.00,5.11,5.46,,
May,3.21,4.65,2.92,4.87,3.96,2.02,4.39,2.41,3.34,2.94,,
June,1.24,1.54,3.57,3.62,7.80,4.73,3.94,5.09,0.74,2.80,,
July,1.85,4.78,3.59,3.31,1.61,6.80,2.89,3.10,3.49,4.68,,
August,9.04,6.39,6.89,5.40,4.02,7.43,0.28,6.13,3.90,6.12,,
September,0.61,3.20,5.31,6.21,3.75,7.51,3.32,3.18,1.95,9.22,,
October,6.38,7.49,3.06,5.33,8.18,1.80,1.48,3.17,4.76,2.39,,
November,3.85,1.43,4.42,8.97,0.96,10.21,9.02,2.44,8.22,8.06,,
December,2.82,4.85,2.79,4.57,3.45,3.90,5.58,5.16,9.74,2.71,,
Total,49.52,46.03,47.68,56.38,48.53,63.26,51.59,51.79,49.14,57.94,,
Calc annual,49.52,46.03,47.68,56.38,48.53,63.26,51.59,51.79,49.14,57.94,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
