"SCAR HOUSE RESERVOIR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3374/1,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,6.03,5.06,,5.24,5.44,11.11,2.78,4.20,,
February,,,3.82,2.57,,4.68,6.29,4.97,4.55,7.79,,
March,,,1.64,0.29,,1.80,8.85,4.05,1.40,2.78,,
April,,,2.15,2.30,,1.92,8.11,3.87,5.78,3.89,,
May,,,3.46,1.74,,4.32,2.70,1.91,1.96,2.12,,
June,,,2.55,2.82,,2.84,4.17,5.63,0.87,1.77,,
July,,,1.89,2.27,,3.30,2.01,1.24,3.76,3.56,,
August,,,4.33,2.42,,6.88,0.56,4.96,2.82,8.18,,
September,,,4.07,6.78,,6.78,3.47,4.05,1.75,7.43,,
October,,,2.76,6.46,,1.75,1.76,1.83,6.08,3.06,,
November,,,2.69,10.04,,10.06,7.59,2.74,6.73,7.57,,
December,,,2.26,4.95,,4.56,4.16,5.99,8.91,2.14,,
Total,,,37.65,47.70,,54.13,55.11,52.35,47.39,54.49,,
Calc annual,0.00,0.00,37.65,47.70,0.00,54.13,55.11,52.35,47.39,54.49,,
Difference,NaN,NaN,0.00,0.00,NaN,0.00,0.00,0.00,0.00,0.00,,
