"RIVINGTON (SCOTCHMAN'S POST)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2997/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,,4.93,5.10,,,3.55,4.55,,
February,,,,,5.80,6.04,,,2.70,5.78,,
March,,,,,1.90,1.22,,,2.79,2.80,,
April,,,,,2.60,,,,4.15,3.15,,
May,,,,2.90,4.30,,,,3.55,2.49,,
June,,,,4.00,5.25,,,,1.53,3.60,,
July,,,,5.60,3.45,,,,3.37,5.59,,
August,,,,3.85,3.18,,,,3.52,8.30,,
September,,,,7.35,2.62,,,,2.55,9.93,,
October,,,,6.20,6.84,,,,5.34,3.65,,
November,,,,6.90,0.66,,,,6.30,7.80,,
December,,,,5.20,3.52,,,,6.39,4.50,,
Total,,,,,45.05,,,,45.74,62.14,,
Calc annual,0.00,0.00,0.00,42.00,45.05,12.36,0.00,0.00,45.74,62.14,,
Difference,NaN,NaN,NaN,NaN,-0.00,NaN,NaN,NaN,0.00,0.00,,
